strength,orientation,mean_C,mean_L,z,min_innovation_eigenvalue,spectral_radius
0.02,-1,0.02,0.010000000000000002,-1.0,0.8580124904194857,0.2634230762547432
0.02,1,0.02,0.009999999999999998,1.0,0.8999546246584301,0.2431441625826383
0.1,-1,0.09999999999999999,0.010000000000000002,-1.0,0.7725202071533602,0.286026235986085
0.1,1,0.09999999999999999,0.009999999999999998,1.0,0.8180730317569764,0.2630094648166335
