feature_index,SPI-1,SPI-2,ks_statistic,n_CauchyNoise,n_Kuramoto
0,anm,bary-sq_euclidean_max,0.267388729815467,64,64
1,anm,bary-sq_euclidean_mean,0.1437183425707405,64,64
2,anm,bary_euclidean_max,0.2346732026485584,64,64
3,anm,bary_euclidean_mean,0.203125,64,64
4,anm,cce_gaussian,1.0,64,64
5,anm,cce_kernel_W-0.5,0.14214000661696496,64,64
6,anm,cce_kozachenko,0.3858855219735977,64,64
7,anm,cds,0.41862677112877716,64,64
8,anm,ce_gaussian,0.37525860174822495,64,64
9,anm,ce_kernel_W-0.5,0.19536288285628362,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.07178462692943988,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.061089639899163606,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.06946932880736906,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.03571169198529012,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.05521039462118549,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.04769371223973523,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.20458453944075916,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.23232142334952177,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.23236092878103698,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.11879673557291442,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.044304436680950854,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.1131415082913515,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.06527949429865665,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.19674000544362696,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.04081730344208735,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.18071305658757314,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.0555131476208911,64,64
27,anm,cov-sq_EmpiricalCovariance,0.2927773248013595,64,64
28,anm,cov-sq_GraphicalLasso,0.42395196680716807,64,64
29,anm,cov-sq_LedoitWolf,0.96875,64,64
30,anm,cov-sq_OAS,0.7000480436517059,64,64
31,anm,cov-sq_ShrunkCovariance,0.2927773248013595,64,64
32,anm,cov_EmpiricalCovariance,0.4595688175050491,64,64
33,anm,cov_GraphicalLasso,0.4291962670281305,64,64
34,anm,cov_GraphicalLassoCV,0.5174799086651053,64,64
35,anm,cov_LedoitWolf,0.859375,64,64
36,anm,cov_OAS,0.6631798474770014,64,64
37,anm,cov_ShrunkCovariance,0.4595688175050491,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.1314076161604093,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.07423010051639556,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.0744652290186204,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.11972683360014141,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.05631014195331907,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.05947516719009349,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.17924844906330595,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.1171507752386407,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.117417337641334,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.16305641389157993,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.07066987823686854,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.07670639743544916,64,64
50,anm,di_gaussian,0.59375,64,64
51,anm,di_kernel_W-0.5,0.5599671448184983,64,64
52,anm,di_kozachenko,0.8641552770532874,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.7228853308821035,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.024103061241296797,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.05482905148192718,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.3476245447769286,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.30083215154412596,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.2947480532920561,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.6673352724292618,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.02478626741095924,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.055708373604628214,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.21958944240547687,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.2877647477643954,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.2249843496496082,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.11347845924324157,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.08718901083346342,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.07968971610783804,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.135050709225424,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.10670831855681973,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.12321999104675246,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.12534599532955132,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.203125,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.25,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.21875,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.09297265892910789,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.06761645614604334,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.06367116273784756,64,64
78,anm,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.11863298035215436,64,64
