feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_Kuramoto
0,anm,bary-sq_euclidean_max,0.03455209647176613,64,64
1,anm,bary-sq_euclidean_mean,0.14810312792888397,64,64
2,anm,bary_euclidean_max,0.09712508920466517,64,64
3,anm,bary_euclidean_mean,0.140625,64,64
4,anm,cce_gaussian,1.0,64,64
5,anm,cce_kernel_W-0.5,0.29951736878725466,64,64
6,anm,cce_kozachenko,0.8444259372080907,64,64
7,anm,cds,0.4211224912343283,64,64
8,anm,ce_gaussian,0.29590949727815985,64,64
9,anm,ce_kernel_W-0.5,0.22107220949927067,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.03601053537188359,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.016530969566645237,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.018231458260414835,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.03370675310136939,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.0452048691508492,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.024798691385635063,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.17398441486125638,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.20018444971442195,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.20625405482169823,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.15590637396715412,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.04904667888229228,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.1444642343668906,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.06006168040334392,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.18450042258153843,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.03577919680311881,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.16677438132529357,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.04247029486878684,64,64
27,anm,cov-sq_EmpiricalCovariance,0.2500214112536082,64,64
28,anm,cov-sq_GraphicalLasso,0.1941959309470389,64,64
29,anm,cov-sq_LedoitWolf,0.7569090716504885,64,64
30,anm,cov-sq_OAS,0.734046258853744,64,64
31,anm,cov-sq_ShrunkCovariance,0.2500214112536082,64,64
32,anm,cov_EmpiricalCovariance,0.35018755923089806,64,64
33,anm,cov_GraphicalLasso,0.29473494173832526,64,64
34,anm,cov_GraphicalLassoCV,0.42077580290593963,64,64
35,anm,cov_LedoitWolf,0.5867513717176723,64,64
36,anm,cov_OAS,0.5826146424469802,64,64
37,anm,cov_ShrunkCovariance,0.35018755923089806,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.04142842726749518,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.07228469863137592,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.06268391018836234,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.025176495399370544,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.09781345447341275,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.10447769518085662,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.08869770024506024,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.04616850297387304,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.03745920454722941,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.05681218601201371,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.07648086383435668,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.07664081615197785,64,64
50,anm,di_gaussian,1.0,64,64
51,anm,di_kernel_W-0.5,0.35454003059257433,64,64
52,anm,di_kozachenko,0.6238915972422899,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.8447773189402694,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.12498088398273616,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.16063137604472932,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.46008941093506633,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.34863922477760806,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.41157386299398385,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.8169272619828959,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.1367203670646393,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.1771818674524433,64,64
