feature_index,SPI-1,SPI-2,ks_statistic,n_CauchyNoise,n_Kuramoto
0,anm,bary-sq_euclidean_max,0.2126543844789146,64,64
1,anm,bary-sq_euclidean_mean,0.11580392615682883,64,64
2,anm,bary_euclidean_max,0.18257897490056937,64,64
3,anm,bary_euclidean_mean,0.140625,64,64
4,anm,cce_gaussian,1.0,64,64
5,anm,cce_kernel_W-0.5,0.12857698677253632,64,64
6,anm,cce_kozachenko,0.3350817862452772,64,64
7,anm,cds,0.35752387529836477,64,64
8,anm,ce_gaussian,0.3165067130575894,64,64
9,anm,ce_kernel_W-0.5,0.15039708092425713,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.05546759684226865,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.04802236247107389,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.053811860538273415,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.025859298520464757,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.043898634001448,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.035935493837085275,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.1709236827443642,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.19132650436108656,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.19078260531266944,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.08750395003016226,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.03306041159348705,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.08140854132941677,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.0469079600777651,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.1489529339398964,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.029960505550482686,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.1368100671894296,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.039091370990533725,64,64
27,anm,cov-sq_EmpiricalCovariance,0.24690125462036555,64,64
28,anm,cov-sq_GraphicalLasso,0.3804289403519866,64,64
29,anm,cov-sq_LedoitWolf,0.96875,64,64
30,anm,cov-sq_OAS,0.6438331769344624,64,64
31,anm,cov-sq_ShrunkCovariance,0.24690125462036555,64,64
32,anm,cov_EmpiricalCovariance,0.46145881916054116,64,64
33,anm,cov_GraphicalLasso,0.39855837217971807,64,64
34,anm,cov_GraphicalLassoCV,0.49571245977865286,64,64
35,anm,cov_LedoitWolf,0.859375,64,64
36,anm,cov_OAS,0.6663495013277314,64,64
37,anm,cov_ShrunkCovariance,0.46145881916054116,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.11201381497622048,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.06959148613182431,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.07056008552639947,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.10274014856884595,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.04981217589862541,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.052787904798920704,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.14556937506128742,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.09627362803745282,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.09681035219986744,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.1350707312715682,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.06398341519793682,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.06814808453587973,64,64
50,anm,di_gaussian,0.59375,64,64
51,anm,di_kernel_W-0.5,0.49026807313220466,64,64
