feature_index,SPI-1,SPI-2,ks_statistic,n_CauchyNoise,n_VAR(1)
0,anm,bary-sq_euclidean_max,0.18895478607872956,64,64
1,anm,bary-sq_euclidean_mean,0.044359188197414134,64,64
2,anm,bary_euclidean_max,0.101710445619722,64,64
3,anm,bary_euclidean_mean,0.171875,64,64
4,anm,cce_gaussian,0.3526681097958487,64,64
5,anm,cce_kernel_W-0.5,0.34841461156296194,64,64
6,anm,cce_kozachenko,0.8501550635320173,64,64
7,anm,cds,0.24833023893245326,64,64
8,anm,ce_gaussian,0.019928336719535422,64,64
9,anm,ce_kernel_W-0.5,0.07730809892741303,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.028880167420976766,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.010786005358049633,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.014424800273953542,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.01875977275848717,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.024652820016920374,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.01812851923081471,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.07871833758934332,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.054782609161991846,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.07500754765318696,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.06358185801693556,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.05317841661757153,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.05367746616057084,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.04174726292377609,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.12226067930176943,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.09702458992138796,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.09442981650822455,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.07223640835681736,64,64
27,anm,cov-sq_EmpiricalCovariance,0.011911026704719357,64,64
28,anm,cov-sq_GraphicalLasso,0.2027436282734496,64,64
29,anm,cov-sq_LedoitWolf,0.921875,64,64
30,anm,cov-sq_OAS,0.43724400104969674,64,64
31,anm,cov-sq_ShrunkCovariance,0.011911026704719357,64,64
32,anm,cov_EmpiricalCovariance,0.5041140569011844,64,64
33,anm,cov_GraphicalLasso,0.4132470127791921,64,64
34,anm,cov_GraphicalLassoCV,0.5570861748324734,64,64
35,anm,cov_LedoitWolf,0.859375,64,64
36,anm,cov_OAS,0.6673720652855336,64,64
37,anm,cov_ShrunkCovariance,0.5041140569011844,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.08908862795992184,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.06284485081266133,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.06157339871759371,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.08441811540998406,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.05629585071065285,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.063528830638507,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.08183374192800386,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.06315403118989021,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.05987208703015101,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.07795653897497429,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.05031022805875929,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.055834428887333476,64,64
50,anm,di_gaussian,0.23122912050190275,64,64
51,anm,di_kernel_W-0.5,0.13426348155952195,64,64
52,anm,di_kozachenko,0.8569437385738922,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.11053017843883223,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.11307859637044715,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.12140177975806063,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.13528583280112105,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.12568225372707686,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.15086196021088089,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.11707267289882828,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.12088087165065942,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.12787625922459248,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.11965446886456205,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.14416588012480192,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.14537035015385563,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.052251518111533723,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.04178807861516237,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.049024820779994704,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.08250358501730842,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.04324517442762271,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.06396186198041642,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.010850832196837357,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.078125,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.234375,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.15625,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.005894748450485016,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.04283164200675038,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.042043060559072476,64,64
