feature_index,SPI-1,SPI-2,ks_statistic,n_CauchyNoise,n_CML
0,anm,bary-sq_euclidean_max,0.5032492578680859,64,64
1,anm,bary-sq_euclidean_mean,0.18221161372140804,64,64
2,anm,bary_euclidean_max,0.26776611038491993,64,64
3,anm,bary_euclidean_mean,0.109375,64,64
4,anm,cce_gaussian,0.5702507922125858,64,64
5,anm,cce_kernel_W-0.5,0.09420910821533057,64,64
6,anm,cce_kozachenko,0.20852865895801243,64,64
7,anm,cds,0.6289665847813045,64,64
8,anm,ce_gaussian,0.510833500148726,64,64
9,anm,ce_kernel_W-0.5,0.3004021791611873,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3129229141197314,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.21772302488951623,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.2797576423851734,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.43820190625284017,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.2897413747283396,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.40124217393282025,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.10364851124286578,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.09157740235472223,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.07655167219895642,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.3825444216417317,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.11041410033205831,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.3738241740263078,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.06505001063242122,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.23223346318961274,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.20748543531078326,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.26230934198231975,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.13655449387898166,64,64
27,anm,cov-sq_EmpiricalCovariance,0.7251674090947591,64,64
28,anm,cov-sq_GraphicalLasso,0.8704883421021647,64,64
29,anm,cov-sq_LedoitWolf,0.984375,64,64
30,anm,cov-sq_OAS,0.9296410555898407,64,64
31,anm,cov-sq_ShrunkCovariance,0.7251674090947591,64,64
32,anm,cov_EmpiricalCovariance,0.4773369082042553,64,64
33,anm,cov_GraphicalLasso,0.3821652003342746,64,64
34,anm,cov_GraphicalLassoCV,0.5908773439436421,64,64
35,anm,cov_LedoitWolf,0.625,64,64
36,anm,cov_OAS,0.5968643743351116,64,64
37,anm,cov_ShrunkCovariance,0.4773369082042553,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.44383532832359673,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.20245918064800905,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.4526067021300143,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.30707264902397885,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.16635820856239225,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.29595877148000554,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3554140016668985,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.09582658179598208,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.36728316148455986,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.177690182143863,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.06586183258971334,64,64
