feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_CML
0,anm,bary-sq_euclidean_max,0.33103120179994233,64,64
1,anm,bary-sq_euclidean_mean,0.13596557693131994,64,64
2,anm,bary_euclidean_max,0.24427092095515385,64,64
3,anm,bary_euclidean_mean,0.109375,64,64
4,anm,cce_gaussian,0.31033285110380293,64,64
5,anm,cce_kernel_W-0.5,0.2664226570573261,64,64
6,anm,cce_kozachenko,0.8660889983551063,64,64
7,anm,cds,0.6046866668752265,64,64
8,anm,ce_gaussian,0.45082408257116074,64,64
9,anm,ce_kernel_W-0.5,0.32330452525782694,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.2665140416211113,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.1582260056783102,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.2057942441372425,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.37140668394274834,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.2712139204606693,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.333176110507897,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.07845926641472944,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.07065489665734492,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.056615622390810305,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.3314647500781768,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.14642700738549927,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.321740051102339,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.0992490721885001,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.23237611739573583,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.1952951031750759,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.25746788054166825,64,64
