feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1),n_Kuramoto
0,anm,bary-sq_euclidean_max,0.04618827199989517,64,64
1,anm,bary-sq_euclidean_mean,0.10716782377981449,64,64
2,anm,bary_euclidean_max,0.03145963917005601,64,64
3,anm,bary_euclidean_mean,0.140625,64,64
4,anm,cce_gaussian,0.78125,64,64
5,anm,cce_kernel_W-0.5,0.1974262195476015,64,64
6,anm,cce_kozachenko,0.655139282049515,64,64
7,anm,cds,0.2966333050592804,64,64
8,anm,ce_gaussian,0.2955396634178583,64,64
9,anm,ce_kernel_W-0.5,0.2140189646754569,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.01744418101989731,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.05977890110871298,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.058313581505550716,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.0270873819579181,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.069429242382188,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.06661245589372644,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.08222085976912896,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.07252732438810644,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.05980479064660771,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.026382983672127658,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.04478226743287406,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.046216241060552554,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.047048610774707345,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.01273244285425501,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.05835743403827942,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.024557669051332054,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.05466609464485511,64,64
27,anm,cov-sq_EmpiricalCovariance,0.23437418167828195,64,64
28,anm,cov-sq_GraphicalLasso,0.14757076169495476,64,64
29,anm,cov-sq_LedoitWolf,0.23437418167828195,64,64
30,anm,cov-sq_OAS,0.23437418167828195,64,64
31,anm,cov-sq_ShrunkCovariance,0.23437418167828195,64,64
32,anm,cov_EmpiricalCovariance,0.4247617527608871,64,64
33,anm,cov_GraphicalLasso,0.4122845270372504,64,64
34,anm,cov_GraphicalLassoCV,0.41595161996269264,64,64
35,anm,cov_LedoitWolf,0.4247617527608871,64,64
36,anm,cov_OAS,0.4247617527608871,64,64
37,anm,cov_ShrunkCovariance,0.4247617527608871,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.039239779235953176,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.04383150184652784,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.04476778647880339,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.04775027774245308,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.06872133305019043,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.06985766705653801,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.052681770528061556,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.02185447299304044,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.02759633087367186,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.03440608368781739,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.039474550775784684,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.03905845396064822,64,64
50,anm,di_gaussian,0.984375,64,64
51,anm,di_kernel_W-0.5,0.3512538422309764,64,64
52,anm,di_kozachenko,0.11639215672839787,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.7775390245218422,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.09735663880985918,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.12799024948767196,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.38766435369129876,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.2974128003820589,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.39251520410892426,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.7502384582826301,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.10639424118449053,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.14017456797133476,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.28001387180791915,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.2459149394265599,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.3194068374531108,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.04006365788853894,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.01833172354960033,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.02092593636175702,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.02598796780863019,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.032793821714828475,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.021245757428930534,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.11065526896495587,64,64
