method,retained,explained_variance,abs_PC1_M,abs_PC1_T
mean,235,0.9840834496259683,0.2021524084892837,0.20714515695068855
distribution,1701,0.9438890456113124,0.21161968467858747,0.2718277488780383
z,21788,0.7252606119910413,0.27001362935309947,0.023521746616464365
