system,method,n,seeds,evaluated_available,abs_rho,low,high,difference_vs_q,difference_low,difference_high,control_mean_abs_rho,within_control_abs_rho
StuartLandau,q,72,8,72,0.9682195871248116,0.957271140617892,0.9781887513904245,0.0,0.0,0.0,1.0,0.011898782957903933
StuartLandau,mean_PC1,72,8,72,0.9781049645316863,0.9714638922668514,0.9853288258696026,0.009885377406874674,-0.000645944153853778,0.021604803789830564,1.0,0.2136122543787835
StuartLandau,distribution_PC1,72,8,72,0.9829349534927,0.97713240907925,0.9886754613244197,0.014715366367888394,0.007669483798157179,0.024581091561789017,1.0,0.27136015210382813
StuartLandau,mean_correlation,72,8,72,0.987861542232934,0.9872464160572794,0.9912532140019485,0.01964195510812239,0.011531705425705216,0.03122344325418606,1.0,0.3398913218844732
StuartLandau,mean_abs_correlation,72,8,72,0.9860261464277488,0.9846515561994422,0.9902374094618939,0.017806559302937175,0.009825454705087869,0.030482466189088887,1.0,0.41779924997433604
StuartLandau,temporal_spectral_entropy,72,8,72,0.5637563115295221,0.5077701661777573,0.6017759924187027,-0.4044632755952895,-0.4534070598155701,-0.373404188577407,0.5333333333333333,0.4185590907338761
StuartLandau,mean_channel_sd,72,8,72,0.9859617465749352,0.9844774187432627,0.9906980184209251,0.017742159450123585,0.01037083931745594,0.029578577893135116,1.0,0.3603423550933706
StuartLandau,analytic_phase_coherence,72,8,72,0.9874751431160528,0.9865806281589102,0.9910999141263679,0.01925555599124118,0.010599761886309863,0.03138354267049653,1.0,0.4253006566217103
StuartLandauFine,q,152,8,152,0.8860179180337685,0.8818014715691922,0.8938717152596826,0.0,0.0,0.0,0.8964912280701753,0.21963663838891095
StuartLandauFine,mean_PC1,152,8,152,0.8833200111687525,0.8767131476682011,0.8956656246628536,-0.002697906865016031,-0.013826965441646086,0.007830914492962743,0.8912280701754386,0.3256848834619499
StuartLandauFine,distribution_PC1,152,8,152,0.9024994276527514,0.8998649721394377,0.9062949411739775,0.01648150961898287,0.00790042659186684,0.02163397354762502,0.9140350877192982,0.2647564372581172
StuartLandauFine,mean_correlation,152,8,152,0.9677313278604979,0.9660900441603872,0.9708171713808221,0.08171340982672937,0.07410049579277056,0.0861034604201294,0.9719298245614034,0.6180427454479067
StuartLandauFine,mean_abs_correlation,152,8,152,0.9147135256525455,0.9118862107907675,0.9185671040139968,0.028695607618776986,0.0195945664427834,0.035475496947445784,0.9210526315789472,0.5009987520744372
StuartLandauFine,temporal_spectral_entropy,152,8,152,0.8263322851708333,0.7604786080110558,0.8796557114942164,-0.059685632862935156,-0.12755379198336467,-0.00932241333534129,0.8859649122807017,0.1376384299092038
StuartLandauFine,mean_channel_sd,152,8,152,0.9337664243241166,0.9309928195200846,0.939418293000628,0.0477485062903481,0.04009138555542895,0.05409755234225829,0.9473684210526316,0.6082922421473111
StuartLandauFine,analytic_phase_coherence,152,8,152,0.9152230163025928,0.9142472781024625,0.9181849505072065,0.029205098268824337,0.02178427984720499,0.03487914912997068,0.9210526315789472,0.6977004716710298
MillerHuse,q,72,8,72,0.9314103800887519,0.9106530205014324,0.9535339309874221,0.0,0.0,0.0,0.9833333333333333,0.12891504276802368
MillerHuse,mean_PC1,72,8,72,0.9380989131133836,0.918744964584945,0.9603200556546163,0.006688533024631682,-0.010726546948275118,0.026228186133997272,0.9833333333333333,0.005466589491285614
MillerHuse,distribution_PC1,72,8,72,0.9425364975239567,0.9276278740486881,0.960877553849212,0.011126117435204863,-0.0017372190821733774,0.033598133285525744,0.9833333333333333,0.021930670782686994
MillerHuse,mean_correlation,72,8,72,0.05421570519004438,0.007704567525348183,0.34860588019521543,-0.8771946748987075,-0.9282439801187086,-0.5858558391684554,0.25,0.00784616374043347
MillerHuse,mean_abs_correlation,72,8,72,0.9240465624799024,0.9061874994820631,0.9434159703431577,-0.007363817608849521,-0.0255478725248117,0.016819719671338773,0.9500000000000001,0.0955045340536369
MillerHuse,temporal_spectral_entropy,72,8,72,0.954691620039874,0.9401568215746599,0.9691676374177177,0.02328123995112208,0.0026665932235786227,0.049208826074570416,1.0,0.06730336356035758
MillerHuse,mean_channel_sd,72,8,72,0.9616052479259118,0.9453403546065027,0.9761449169085742,0.030194867837159967,0.004085226387104049,0.056662875322651,1.0,0.03386069843719854
KanekoBand,q,140,4,164,0.720977017777875,0.5933604837714428,0.8847473860643306,0.0,0.0,0.0,0.9057491289198607,0.050584967963436756
KanekoBand,mean_PC1,140,4,164,0.9739082897815488,0.9688508304529517,0.9827785075774566,0.2529312720036737,0.09230585042700945,0.37896458101937547,0.9491289198606274,0.0872794069408909
KanekoBand,distribution_PC1,140,4,164,0.9761124838730841,0.9697662580766988,0.9833125073424965,0.2551354660952091,0.09298427647856966,0.38337652721214366,0.9522648083623695,0.08243346672789695
KanekoBand,mean_correlation,140,4,164,0.3767203866086463,0.2284895283802836,0.5779262896035335,-0.3442566311692287,-0.40003524398449253,-0.27816857953844254,0.35662020905923353,0.018592140654726756
KanekoBand,mean_abs_correlation,140,4,164,0.9664166539109139,0.9537748228501446,0.9795993351412827,0.24543963613303887,0.0830872376087477,0.37961248920153035,0.9644599303135891,0.04893612368518882
KanekoBand,temporal_spectral_entropy,140,4,164,0.9797380332815815,0.9728807628378972,0.9875076546233927,0.25876101550370645,0.09609705483278796,0.3877884734049116,0.972473867595819,0.05832185265367709
KanekoBand,mean_channel_sd,140,4,164,0.9433163499595463,0.9134715176322874,0.9550189207515806,0.22233933218167123,0.06915954984436101,0.33774527952610145,0.9371080139372824,0.07270222397165911
KanekoEntropy,q,140,4,164,0.7153265837178283,0.5870665185733679,0.8844281267459493,0.0,0.0,0.0,0.9080139372822302,0.012639681602484198
KanekoEntropy,mean_PC1,140,4,164,0.9855808969845402,0.9814883376527213,0.9912210438627405,0.2702543132667119,0.10503631574746586,0.39442181907935336,0.9766550522648085,0.21009425091298733
KanekoEntropy,distribution_PC1,140,4,164,0.986897290678096,0.9844193508577072,0.9916963036536262,0.27157070696026764,0.10547529731024019,0.39735283228433926,0.9783972125435542,0.18439064925976947
