feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1),n_Wave1D
0,anm,bary-sq_euclidean_max,0.21790407124026168,64,64
1,anm,bary-sq_euclidean_mean,0.11695448120350656,64,64
2,anm,bary_euclidean_max,0.10809350353728533,64,64
3,anm,bary_euclidean_mean,0.1875,64,64
4,anm,cce_gaussian,0.78125,64,64
5,anm,cce_kernel_W-0.5,0.6675846636174463,64,64
6,anm,cce_kozachenko,0.8537818640666966,64,64
7,anm,cds,0.41393855605947416,64,64
8,anm,ce_gaussian,0.984375,64,64
9,anm,ce_kernel_W-0.5,0.4202905426462814,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.19320446715130934,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.33823842896750395,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3070383164714935,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.22234185055808842,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.22644459817661822,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.24143893860112553,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.75,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.734375,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.65625,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.71875,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.18224853320012474,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.13056387524077082,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.3952650345541941,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.6875,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.1588944765301477,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.21817248980066828,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.37866794251063957,64,64
27,anm,cov-sq_EmpiricalCovariance,0.3189531097825187,64,64
28,anm,cov-sq_GraphicalLasso,0.4222096780675038,64,64
29,anm,cov-sq_LedoitWolf,0.31895793751790386,64,64
30,anm,cov-sq_OAS,0.31895248358078454,64,64
31,anm,cov-sq_ShrunkCovariance,0.3189578770947538,64,64
32,anm,cov_EmpiricalCovariance,0.8270438830013139,64,64
33,anm,cov_GraphicalLasso,0.6240079431614314,64,64
34,anm,cov_GraphicalLassoCV,0.8022793079942079,64,64
35,anm,cov_LedoitWolf,0.8270348417663227,64,64
36,anm,cov_OAS,0.8270244955912459,64,64
37,anm,cov_ShrunkCovariance,0.8270367430577552,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.5839241943897221,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.657763207807795,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.6775258399037304,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.6958874648536365,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.6952601824457025,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.7458991136939674,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.8997418951170589,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.8768534317838041,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.8783927331529016,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.9147322744080819,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.8691810800253332,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.8725180165082759,64,64
50,anm,di_gaussian,0.984375,64,64
51,anm,di_kernel_W-0.5,0.2921234803808402,64,64
52,anm,di_kozachenko,0.4788224434545801,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.9452180401010392,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.1179030973816679,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.17687498216109415,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5390361600123778,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.447419429762005,64,64
