feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_VAR(1)
0,anm,bary-sq_euclidean_max,0.13319156931869608,64,64
1,anm,bary-sq_euclidean_mean,0.09802339474372618,64,64
2,anm,bary_euclidean_max,0.13137807066742588,64,64
3,anm,bary_euclidean_mean,0.109375,64,64
4,anm,cce_gaussian,0.21187437995197866,64,64
5,anm,cce_kernel_W-0.5,0.08917428591056276,64,64
6,anm,cce_kozachenko,0.21020930667136895,64,64
7,anm,cds,0.3341331831905282,64,64
8,anm,ce_gaussian,0.16337743693183082,64,64
9,anm,ce_kernel_W-0.5,0.16457413966613987,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.07050087149951814,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.14946831659704235,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.1625605435510696,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.06464571389935869,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.13174498843579555,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.14559318262557652,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.2529115409645025,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.24268048806728537,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.2570427871434855,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.2681635405335309,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.24652877550056976,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.2556776294744133,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.20576355069724117,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.29002429537198265,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.2628586668808737,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.2517580994054776,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.22229781847829783,64,64
27,anm,cov-sq_EmpiricalCovariance,0.0903347408081503,64,64
28,anm,cov-sq_GraphicalLasso,0.08575621979801273,64,64
29,anm,cov-sq_LedoitWolf,0.706221663998192,64,64
