feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_VAR(1)
0,anm,bary-sq_euclidean_max,0.03288364329400584,64,64
1,anm,bary-sq_euclidean_mean,0.020212658660520633,64,64
2,anm,bary_euclidean_max,0.014966796941702054,64,64
3,anm,bary_euclidean_mean,0.1875,64,64
4,anm,cce_gaussian,0.03838882693329257,64,64
5,anm,cce_kernel_W-0.5,0.006066641284579732,64,64
6,anm,cce_kozachenko,0.03201082477978104,64,64
7,anm,cds,0.09435855419719374,64,64
8,anm,ce_gaussian,0.033239262679780224,64,64
9,anm,ce_kernel_W-0.5,0.02933824693509668,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.005268270042885603,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.037338857461603814,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.0351121572017733,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.024412507985209664,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.017243753102732184,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.02170137238427655,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.03757773092430872,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.027202974881997743,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.03120032328708977,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.05649842931250254,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.04866094028070969,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.04869232230202769,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.041096412833944246,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.06600413928996801,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.05409800178514451,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.049541359487771885,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.042596415803005605,64,64
27,anm,cov-sq_EmpiricalCovariance,0.021688048971258256,64,64
28,anm,cov-sq_GraphicalLasso,0.018299722628600357,64,64
29,anm,cov-sq_LedoitWolf,0.44819290361180686,64,64
30,anm,cov-sq_OAS,0.4123390668137452,64,64
31,anm,cov-sq_ShrunkCovariance,0.021688048971258256,64,64
32,anm,cov_EmpiricalCovariance,0.23563184311025165,64,64
33,anm,cov_GraphicalLasso,0.20936713854819555,64,64
34,anm,cov_GraphicalLassoCV,0.40187506574268816,64,64
35,anm,cov_LedoitWolf,0.5544523527635878,64,64
36,anm,cov_OAS,0.5535585752839903,64,64
37,anm,cov_ShrunkCovariance,0.23563184311025165,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.007094808485042181,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.005606278986149071,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.0076043470994095475,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.007899897547140045,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.01660791738681855,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.006921490665896701,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.0034381641736595248,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.006708173816755647,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.011981093253339736,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.005490846121727788,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.01795543785468301,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.012728724681640546,64,64
50,anm,di_gaussian,0.025836756888857892,64,64
51,anm,di_kernel_W-0.5,0.10803390867877755,64,64
52,anm,di_kozachenko,0.4066601799453581,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.0025767647993953924,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.00602450621109174,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.0014160712992120628,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.04130473738635265,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.006060045275159687,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.06180517345114789,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.002638954585238995,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.006110206666074758,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.0014162419209456933,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.059253464751138796,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.013437721488551324,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.03244412578266054,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.004860962414924064,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.04453693077704346,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.04764555645782875,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.00841304681051569,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.013767487672485701,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.0028692872242775946,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.03962988490063041,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.078125,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.15625,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.125,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.009624302304474808,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.05055440909250164,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.05895093403593821,64,64
