feature_index,SPI-1,SPI-2,ks_statistic,n_Kuramoto,n_CML
0,anm,bary-sq_euclidean_max,0.1721008588911714,64,64
1,anm,bary-sq_euclidean_mean,0.18697182384405553,64,64
2,anm,bary_euclidean_max,0.23007004911425355,64,64
3,anm,bary_euclidean_mean,0.21875,64,64
4,anm,cce_gaussian,0.578125,64,64
5,anm,cce_kernel_W-0.5,0.040637129406126515,64,64
6,anm,cce_kozachenko,0.12979934572495433,64,64
7,anm,cds,0.2353638659397567,64,64
8,anm,ce_gaussian,0.11556286751934575,64,64
9,anm,ce_kernel_W-0.5,0.08467740461623463,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.22863958155253855,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.13712820661558495,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.18355359293067958,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.36257805705857915,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.18912250466960356,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.3205840324963784,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.03759289163218066,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.04060687165626092,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.0488005473951435,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.32790283675428417,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.05885577074637155,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.3137921295811661,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.037547504608827,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.26952683200595207,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.0998022695088378,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.2719367224571983,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.07974153449176136,64,64
27,anm,cov-sq_EmpiricalCovariance,0.48521130566873316,64,64
28,anm,cov-sq_GraphicalLasso,0.456144855932779,64,64
29,anm,cov-sq_LedoitWolf,0.4071188729935915,64,64
30,anm,cov-sq_OAS,0.4071188729935915,64,64
31,anm,cov-sq_ShrunkCovariance,0.48521130566873316,64,64
32,anm,cov_EmpiricalCovariance,0.24369165282419702,64,64
33,anm,cov_GraphicalLasso,0.23503733585232356,64,64
34,anm,cov_GraphicalLassoCV,0.26053861684308355,64,64
35,anm,cov_LedoitWolf,0.24230200951333902,64,64
36,anm,cov_OAS,0.24230200951333902,64,64
37,anm,cov_ShrunkCovariance,0.24369165282419702,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3077609046500771,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.14448746378257993,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3406327682285283,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.2077481060781703,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.13033183407479199,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.2336698414851898,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.1909709489574403,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.04386914303580572,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.2545550420039565,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.08181270212949288,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.0368094291175772,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.11861610644602713,64,64
50,anm,di_gaussian,1.0,64,64
51,anm,di_kernel_W-0.5,0.2922601087248634,64,64
52,anm,di_kozachenko,0.37350731869491743,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.6288824525687714,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.06458209526770337,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.08480040266865857,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.4363467748085194,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.3456025907617093,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.4061485475394864,64,64
