feature_index,SPI-1,SPI-2,ks_statistic,n_CauchyNoise,n_VAR(1)
0,anm,bary-sq_euclidean_max,0.11589482590416181,64,64
1,anm,bary-sq_euclidean_mean,0.025847701798229067,64,64
2,anm,bary_euclidean_max,0.057181641024303675,64,64
3,anm,bary_euclidean_mean,0.09375,64,64
4,anm,cce_gaussian,0.2612746236695724,64,64
5,anm,cce_kernel_W-0.5,0.24064925653951108,64,64
6,anm,cce_kozachenko,0.7208082506085595,64,64
7,anm,cds,0.16594635861624762,64,64
8,anm,ce_gaussian,0.011538229687731216,64,64
9,anm,ce_kernel_W-0.5,0.044361015543000426,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.025093839049704636,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.011429600109770122,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.013266309863414927,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.020754934636271316,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.023539868603304037,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.01897116679441746,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.045565846607635185,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.029799595766743514,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.04444012661831598,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.03721552466645611,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.031055537959390672,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.03092816425250522,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.023528833102334695,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.0752783438342085,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.05877792241840951,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.0569558362249421,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.042641163715614966,64,64
27,anm,cov-sq_EmpiricalCovariance,0.01091374159338776,64,64
28,anm,cov-sq_GraphicalLasso,0.1544642468690116,64,64
29,anm,cov-sq_LedoitWolf,0.921875,64,64
30,anm,cov-sq_OAS,0.37660910403242154,64,64
31,anm,cov-sq_ShrunkCovariance,0.01091374159338776,64,64
32,anm,cov_EmpiricalCovariance,0.4362340836832135,64,64
33,anm,cov_GraphicalLasso,0.3502218082901493,64,64
34,anm,cov_GraphicalLassoCV,0.5032526372725039,64,64
35,anm,cov_LedoitWolf,0.859375,64,64
36,anm,cov_OAS,0.6358171809423254,64,64
37,anm,cov_ShrunkCovariance,0.4362340836832135,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.06060331068550656,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.046472455124513756,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.046565628389378944,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.05681357075574245,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.040486925055798983,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.04654704055357095,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.05507002830672875,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.046514717575592335,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.04333237626232861,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.05373744919865597,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.039149635935112115,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.04284782223288053,64,64
50,anm,di_gaussian,0.15397266021117334,64,64
51,anm,di_kernel_W-0.5,0.09030122692850201,64,64
52,anm,di_kozachenko,0.7170988208699146,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.07465792662671866,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.07417163815510736,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.08220426602089581,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.09346833266741872,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.09512223891105098,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.11197907522855638,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.079121556392094,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.07956468621855428,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.08660491587380564,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.0813575295551281,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.1240151209768735,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.10662530927573893,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.03813309757183686,64,64
