feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1),n_CML
0,anm,bary-sq_euclidean_max,0.1672362313168092,64,64
1,anm,bary-sq_euclidean_mean,0.09395822909502205,64,64
2,anm,bary_euclidean_max,0.17993818476623774,64,64
3,anm,bary_euclidean_mean,0.109375,64,64
4,anm,cce_gaussian,0.13325754680817087,64,64
5,anm,cce_kernel_W-0.5,0.152175412064174,64,64
6,anm,cce_kozachenko,0.6319881775134455,64,64
7,anm,cds,0.39105110681856653,64,64
8,anm,ce_gaussian,0.35976235177222027,64,64
9,anm,ce_kernel_W-0.5,0.25713432452095847,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.1880624911190043,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.14382383911693258,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.18037743387217797,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.2948139692601599,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.1780650089898293,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.2778138625240899,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.009385054046660901,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.0054528182834147065,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.016773897040911367,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.31762226133068966,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.03021294765776189,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.3056810689922301,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.010172440177119269,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.25117453260057043,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.05219248161270329,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.24526423214923482,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.04448597170742152,64,64
27,anm,cov-sq_EmpiricalCovariance,0.6140226053141367,64,64
28,anm,cov-sq_GraphicalLasso,0.6196288371714301,64,64
29,anm,cov-sq_LedoitWolf,0.5384474447116927,64,64
30,anm,cov-sq_OAS,0.5384474447116927,64,64
31,anm,cov-sq_ShrunkCovariance,0.6140226053141367,64,64
32,anm,cov_EmpiricalCovariance,0.037432279450680395,64,64
33,anm,cov_GraphicalLasso,0.0379177636687848,64,64
