feature_index,SPI-1,SPI-2,ks_statistic,n_CauchyNoise,n_GaussianNoise
0,anm,bary-sq_euclidean_max,0.08768818857356442,64,64
1,anm,bary-sq_euclidean_mean,0.032633017653547425,64,64
2,anm,bary_euclidean_max,0.024278806369115724,64,64
3,anm,bary_euclidean_mean,0.171875,64,64
4,anm,cce_gaussian,0.20279298397704693,64,64
5,anm,cce_kernel_W-0.5,0.2713242160615081,64,64
6,anm,cce_kozachenko,0.8073740940609264,64,64
7,anm,cds,0.025184834365284986,64,64
8,anm,ce_gaussian,0.02813557169530717,64,64
9,anm,ce_kernel_W-0.5,0.017590895939838647,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.029438818469247507,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.06103230413330507,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.05785825061003469,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.04697599761990345,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.020763906655857367,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.03974256179955904,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.021691911918430506,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.021223374446478926,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.01124666491043913,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.027511102955676825,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.00737732740548902,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.02446798701667474,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.015097773618642618,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.008846592435096556,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.017056263072212863,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.012086798340374516,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.010861473342415828,64,64
27,anm,cov-sq_EmpiricalCovariance,0.029771801752267235,64,64
28,anm,cov-sq_GraphicalLasso,0.19310901030870964,64,64
29,anm,cov-sq_LedoitWolf,0.140625,64,64
30,anm,cov-sq_OAS,0.045319053975720225,64,64
31,anm,cov-sq_ShrunkCovariance,0.029771801752267235,64,64
32,anm,cov_EmpiricalCovariance,0.14006470072155663,64,64
33,anm,cov_GraphicalLasso,0.11953470433841984,64,64
34,anm,cov_GraphicalLassoCV,0.09858884473773497,64,64
35,anm,cov_LedoitWolf,0.15625,64,64
36,anm,cov_OAS,0.12871911942063086,64,64
37,anm,cov_ShrunkCovariance,0.14006470072155663,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.04806066217518079,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.044819288733610685,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.05431119513060223,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.05190067393690617,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.026153413634600386,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.04536316111165989,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.04827300037671389,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.047877028179135694,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.055562529295662355,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.053244222114815554,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.027362384997431766,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.04706558625423807,64,64
50,anm,di_gaussian,0.11764415505891607,64,64
51,anm,di_kernel_W-0.5,0.22308072756599473,64,64
52,anm,di_kozachenko,0.328076480888521,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.07018772158925296,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.074161036200591,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.08244031503176857,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.12341887876346314,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.10548926216495258,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.10862448367623062,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.0745954358549425,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.07919288028884486,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.08678360688842596,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.09138018964696026,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.10538953844847043,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.10673318608981774,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.030879549252537608,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.011817495209544254,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.01686004627746185,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.049565901089342224,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.023003950300407305,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.04118102771973303,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.020168810733599135,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.109375,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.125,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.0625,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.020120670375895322,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.011347204629125862,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.015632274733153984,64,64
78,anm,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.03844538930366842,64,64
79,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.01628490598266885,64,64
80,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.02745588041555963,64,64
81,anm,gwtau,0.009970362748915162,64,64
82,anm,hsic,0.14089466899734793,64,64
83,anm,hsic_biased,0.09048777240828132,64,64
84,anm,icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.025499860488322534,64,64
85,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.007877491522930102,64,64
86,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.03331872304897732,64,64
87,anm,icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.04751039036703697,64,64
88,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.0083076175317372,64,64
89,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.010949609233589452,64,64
90,anm,igci,0.9125577516187132,64,64
91,anm,je_gaussian,0.02813557169530717,64,64
92,anm,je_kernel_W-0.5,0.012857511568136026,64,64
93,anm,je_kozachenko,0.6167136461035929,64,64
94,anm,kendalltau,0.09713511704526756,64,64
95,anm,kendalltau-sq,0.0355203622069602,64,64
96,anm,lmfit_BayesianRidge,0.031265865403988735,64,64
97,anm,lmfit_ElasticNet,0.05415567540260824,64,64
98,anm,lmfit_Lasso,0.05257867024797924,64,64
99,anm,lmfit_Ridge,0.02840627039093402,64,64
100,anm,lmfit_SGDRegressor,0.0413529951614236,64,64
101,anm,mi_gaussian,0.029771801752267235,64,64
102,anm,mi_kernel_W-0.25,0.12835270691612133,64,64
103,anm,mi_kraskov_NN-4,0.13812381389739492,64,64
104,anm,mi_kraskov_NN-4_DCE,0.1220918779914788,64,64
105,anm,pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.030879549252537608,64,64
106,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.011817495209544254,64,64
107,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.01686004627746185,64,64
108,anm,pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.049565901089342224,64,64
109,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.023003950300407305,64,64
110,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.04118102771973303,64,64
111,anm,pdist_braycurtis,0.020167917015457504,64,64
112,anm,pdist_canberra,0.004748907341023734,64,64
113,anm,pdist_chebyshev,0.10346343934909186,64,64
114,anm,pdist_cityblock,0.0754330338295241,64,64
115,anm,pdist_cosine,0.02392298677620497,64,64
116,anm,pdist_euclidean,0.02392298677620497,64,64
117,anm,pec,0.10681252282628317,64,64
118,anm,pec_log,0.06976520899059196,64,64
119,anm,pec_orth,0.16003675588235855,64,64
120,anm,pec_orth_abs,0.01654124162957782,64,64
