feature_index,SPI-1,SPI-2,ks_statistic,n_CauchyNoise,n_CML
0,anm,bary-sq_euclidean_max,0.3925326269428108,64,64
1,anm,bary-sq_euclidean_mean,0.1481560317760794,64,64
2,anm,bary_euclidean_max,0.19172953483732974,64,64
3,anm,bary_euclidean_mean,0.171875,64,64
4,anm,cce_gaussian,0.44484209571642075,64,64
5,anm,cce_kernel_W-0.5,0.06597218624380274,64,64
6,anm,cce_kozachenko,0.15274097994129665,64,64
7,anm,cds,0.5213481685194737,64,64
8,anm,ce_gaussian,0.3844509901620323,64,64
9,anm,ce_kernel_W-0.5,0.20331107532392778,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.21925023154928186,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.15587737164737825,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.19834870872133925,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.31672093326748507,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.21005985021146706,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.28824121100760697,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.06417086775143577,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.054775764285446615,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.044509225001514885,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.27379066931206,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.07106782834563835,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.26630476624015526,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.037804324566944464,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.15773021823875916,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.14177451152704573,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.18170157007585908,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.09190009040105857,64,64
27,anm,cov-sq_EmpiricalCovariance,0.6060436204452616,64,64
28,anm,cov-sq_GraphicalLasso,0.764810978649535,64,64
29,anm,cov-sq_LedoitWolf,0.984375,64,64
30,anm,cov-sq_OAS,0.8544970402415479,64,64
