feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_CauchyNoise
64,cov_EmpiricalCovariance,gc_gaussian_k-max-10_tau-max-2,0.09792927037653598,96,96
65,cov_EmpiricalCovariance,gc_gaussian_k-1_kt-1_l-1_lt-1,0.03172313060749418,96,96
66,cov_EmpiricalCovariance,te_symbolic_k-1_kt-1_l-1_lt-1,0.03172313060749418,96,96
67,cov_EmpiricalCovariance,te_symbolic_k-10_kt-1_l-1_lt-1,0.03469487223021692,96,96
68,cov_EmpiricalCovariance,phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.03261590866004721,96,96
69,cov_EmpiricalCovariance,phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.03972763215349728,96,96
70,cov_EmpiricalCovariance,phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.021017753455747634,96,96
71,cov_EmpiricalCovariance,phase_multitaper_max_fs-1_fmin-0_fmax-0-5,0.05227863561841711,96,96
72,cov_EmpiricalCovariance,phase_multitaper_max_fs-1_fmin-0_fmax-0-25,0.06345920343260514,96,96
73,cov_EmpiricalCovariance,phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.055459139611650055,96,96
74,cov_EmpiricalCovariance,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.06881329656081014,96,96
75,cov_EmpiricalCovariance,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.08526728307563797,96,96
76,cov_EmpiricalCovariance,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.08740847192180157,96,96
77,cov_EmpiricalCovariance,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.08952437307800898,96,96
78,cov_EmpiricalCovariance,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.0818469648497786,96,96
79,cov_EmpiricalCovariance,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.05956801835135378,96,96
80,cov_EmpiricalCovariance,psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.09375,96,96
81,cov_EmpiricalCovariance,psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.125,96,96
82,cov_EmpiricalCovariance,psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.09375,96,96
83,cov_EllipticEnvelope,cov_GraphicalLasso,0.9941117540531508,96,96
84,cov_EllipticEnvelope,cov_GraphicalLassoCV,0.20524356853876946,96,96
85,cov_EllipticEnvelope,cov_LedoitWolf,0.34377208861656317,96,96
86,cov_EllipticEnvelope,cov_MinCovDet,0.4461549692497792,96,96
87,cov_EllipticEnvelope,cov_OAS,0.11044897254277486,96,96
88,cov_EllipticEnvelope,cov_ShrunkCovariance,0.9969390770898943,96,96
89,cov_EllipticEnvelope,cov-sq_EmpiricalCovariance,0.09660863175230477,96,96
90,cov_EllipticEnvelope,cov-sq_EllipticEnvelope,0.08333562588071959,96,96
91,cov_EllipticEnvelope,cov-sq_GraphicalLasso,0.09441085697674373,96,96
92,cov_EllipticEnvelope,cov-sq_GraphicalLassoCV,0.011813257324000126,96,96
93,cov_EllipticEnvelope,cov-sq_LedoitWolf,0.10665632938740481,96,96
94,cov_EllipticEnvelope,cov-sq_MinCovDet,0.07151294983288184,96,96
95,cov_EllipticEnvelope,cov-sq_OAS,0.2219203779237311,96,96
96,cov_EllipticEnvelope,cov-sq_ShrunkCovariance,0.09660863175230477,96,96
97,cov_EllipticEnvelope,prec_EmpiricalCovariance,0.9977746482471641,96,96
98,cov_EllipticEnvelope,prec_EllipticEnvelope,0.5501672747942079,96,96
99,cov_EllipticEnvelope,prec_GraphicalLasso,0.9968216602587038,96,96
100,cov_EllipticEnvelope,prec_GraphicalLassoCV,0.30629540505205977,96,96
101,cov_EllipticEnvelope,prec_LedoitWolf,0.3485699540996472,96,96
102,cov_EllipticEnvelope,prec_MinCovDet,0.4973488772534781,96,96
103,cov_EllipticEnvelope,prec_OAS,0.13085353392929983,96,96
104,cov_EllipticEnvelope,prec_ShrunkCovariance,0.997437402862884,96,96
105,cov_EllipticEnvelope,prec-sq_EmpiricalCovariance,0.09780958996932232,96,96
106,cov_EllipticEnvelope,prec-sq_EllipticEnvelope,0.10848780331670872,96,96
107,cov_EllipticEnvelope,prec-sq_GraphicalLasso,0.10474236879511817,96,96
108,cov_EllipticEnvelope,prec-sq_GraphicalLassoCV,0.19738235878733063,96,96
109,cov_EllipticEnvelope,prec-sq_LedoitWolf,0.3843816862588014,96,96
110,cov_EllipticEnvelope,prec-sq_MinCovDet,0.08720086400677757,96,96
111,cov_EllipticEnvelope,prec-sq_OAS,0.1679470761630042,96,96
112,cov_EllipticEnvelope,prec-sq_ShrunkCovariance,0.17826345542695485,96,96
113,cov_EllipticEnvelope,spearmanr-sq,0.0688697138841996,96,96
114,cov_EllipticEnvelope,spearmanr,0.9472042088692464,96,96
115,cov_EllipticEnvelope,kendalltau-sq,0.06444189657221508,96,96
116,cov_EllipticEnvelope,kendalltau,0.9460006604479511,96,96
117,cov_EllipticEnvelope,xcorr_max_sig-True,0.034901994651316715,96,96
118,cov_EllipticEnvelope,xcorr-sq_max_sig-True,0.02619570909227953,96,96
