feature_index,SPI-1,SPI-2,ks_statistic,n_CML,n_VAR(1)
69,cov_EmpiricalCovariance,si_kozachenko_k-1,0.0996185469316615,241,240
70,cov_EmpiricalCovariance,si_kernel_W-0.5_k-1,0.27156611844866024,241,240
71,cov_EmpiricalCovariance,mi_gaussian,0.6524196288748982,241,240
72,cov_EmpiricalCovariance,mi_kraskov_NN-4,0.5933283196271073,241,240
73,cov_EmpiricalCovariance,mi_kraskov_NN-4_DCE,0.607767568958894,241,240
74,cov_EmpiricalCovariance,mi_kernel_W-0.25,0.6333580344156566,241,240
75,cov_EmpiricalCovariance,tlmi_gaussian,0.7245859186255132,241,240
76,cov_EmpiricalCovariance,tlmi_kraskov_NN-4,0.6293247070671224,241,240
77,cov_EmpiricalCovariance,tlmi_kraskov_NN-4_DCE,0.6415819081078614,241,240
78,cov_EmpiricalCovariance,tlmi_kernel_W-0.25,0.6648978619680321,241,240
79,cov_EmpiricalCovariance,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.6636976992507435,241,240
80,cov_EmpiricalCovariance,gc_gaussian_k-1_kt-1_l-1_lt-1,0.8529591705553775,241,240
81,cov_EmpiricalCovariance,phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.08375044438683604,241,240
82,cov_EmpiricalCovariance,phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.07995265029308568,241,240
83,cov_EmpiricalCovariance,phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.07747233748271093,241,240
84,cov_EmpiricalCovariance,phase_multitaper_max_fs-1_fmin-0_fmax-0-5,0.15769812931390137,241,240
85,cov_EmpiricalCovariance,phase_multitaper_max_fs-1_fmin-0_fmax-0-25,0.046815154040624474,241,240
86,cov_EmpiricalCovariance,phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.32848332748415454,241,240
87,cov_EmpiricalCovariance,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.35943263952301746,241,240
88,cov_EmpiricalCovariance,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4172349937431107,241,240
89,cov_EmpiricalCovariance,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.12749686028485147,241,240
90,cov_EmpiricalCovariance,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.36104955785360815,241,240
91,cov_EmpiricalCovariance,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.4107155379792988,241,240
92,cov_EmpiricalCovariance,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.10350304878261785,241,240
93,cov_EmpiricalCovariance,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.37543855618250954,241,240
94,cov_EmpiricalCovariance,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4146944834143451,241,240
95,cov_EmpiricalCovariance,icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.2391536058788446,241,240
96,cov_EmpiricalCovariance,icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.19789807024380568,241,240
97,cov_EmpiricalCovariance,icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.2180852954845951,241,240
98,cov_EmpiricalCovariance,icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.1792115289766556,241,240
99,cov_EmpiricalCovariance,psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.09021438450899032,241,240
100,cov_EmpiricalCovariance,psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.07347856154910097,241,240
101,cov_EmpiricalCovariance,psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.07989280774550483,241,240
102,cov_EmpiricalCovariance,plv_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.3134390179373371,241,240
103,cov_EmpiricalCovariance,plv_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.36570453169156336,241,240
104,cov_EmpiricalCovariance,plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.11904253082987398,241,240
105,cov_EmpiricalCovariance,plv_multitaper_max_fs-1_fmin-0_fmax-0-5,0.12969186997694065,241,240
106,cov_EmpiricalCovariance,plv_multitaper_max_fs-1_fmin-0_fmax-0-25,0.1821570611594011,241,240
107,cov_EmpiricalCovariance,plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.1278752327700109,241,240
108,cov_EmpiricalCovariance,pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.10579183955739972,241,240
109,cov_EmpiricalCovariance,pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.13594398340248962,241,240
