feature_index,SPI-1,SPI-2,ks_statistic,n_MackeyGlass,n_VAR(1)-Unidirectional
64,cov_EmpiricalCovariance,gc_gaussian_k-max-10_tau-max-2,1.0,96,96
65,cov_EmpiricalCovariance,gc_gaussian_k-1_kt-1_l-1_lt-1,0.2190050579080411,96,96
66,cov_EmpiricalCovariance,te_symbolic_k-1_kt-1_l-1_lt-1,0.2190050579080411,96,96
67,cov_EmpiricalCovariance,te_symbolic_k-10_kt-1_l-1_lt-1,1.0,96,96
68,cov_EmpiricalCovariance,psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.11458333333333333,96,96
69,cov_EmpiricalCovariance,psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.0625,96,96
70,cov_EmpiricalCovariance,psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.17708333333333334,96,96
71,cov_EmpiricalCovariance,psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,0.11178695643714076,96,96
72,cov_EmpiricalCovariance,psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,0.10713999992940604,96,96
73,cov_EmpiricalCovariance,psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean,0.11714650841768914,96,96
74,cov_EmpiricalCovariance,psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max,0.12705175862342377,96,96
75,cov_EmpiricalCovariance,psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max,0.10986489576543168,96,96
76,cov_EmpiricalCovariance,psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max,0.14185207107715514,96,96
77,cov_EmpiricalCovariance,pec,0.7345931367843875,96,96
78,cov_EmpiricalCovariance,pec_orth,0.34173052144416743,96,96
79,cov_EmpiricalCovariance,pec_log,0.7405074021199392,96,96
80,cov_EmpiricalCovariance,pec_orth_log,0.3234228619290896,96,96
81,cov_EmpiricalCovariance,pec_orth_abs,0.34695233953062155,96,96
82,cov_EmpiricalCovariance,pec_orth_log_abs,0.258063578057597,96,96
83,cov_EllipticEnvelope,cov_GraphicalLasso,0.92947380612938,96,96
84,cov_EllipticEnvelope,cov_GraphicalLassoCV,0.6345397196433462,96,96
85,cov_EllipticEnvelope,cov_LedoitWolf,0.8939725882020587,96,96
86,cov_EllipticEnvelope,cov_MinCovDet,0.8642605510696816,96,96
87,cov_EllipticEnvelope,cov_OAS,0.8939725882020587,96,96
88,cov_EllipticEnvelope,cov_ShrunkCovariance,0.8939725882020587,96,96
89,cov_EllipticEnvelope,cov-sq_EmpiricalCovariance,0.3028699141699014,96,96
90,cov_EllipticEnvelope,cov-sq_EllipticEnvelope,0.13134676496586295,96,96
91,cov_EllipticEnvelope,cov-sq_GraphicalLasso,0.5349821728268606,96,96
92,cov_EllipticEnvelope,cov-sq_GraphicalLassoCV,0.32756160770546744,96,96
93,cov_EllipticEnvelope,cov-sq_LedoitWolf,0.3028699141699014,96,96
94,cov_EllipticEnvelope,cov-sq_MinCovDet,0.11719137025800397,96,96
95,cov_EllipticEnvelope,cov-sq_OAS,0.3028699141699014,96,96
96,cov_EllipticEnvelope,cov-sq_ShrunkCovariance,0.3028699141699014,96,96
97,cov_EllipticEnvelope,prec_EmpiricalCovariance,0.9999961250740171,96,96
98,cov_EllipticEnvelope,prec_EllipticEnvelope,0.9999995262217016,96,96
99,cov_EllipticEnvelope,prec_GraphicalLasso,0.9899123733158652,96,96
100,cov_EllipticEnvelope,prec_GraphicalLassoCV,0.7509982385638875,96,96
101,cov_EllipticEnvelope,prec_LedoitWolf,0.998661355551102,96,96
102,cov_EllipticEnvelope,prec_MinCovDet,0.9999993887735602,96,96
103,cov_EllipticEnvelope,prec_OAS,0.9967368606413893,96,96
104,cov_EllipticEnvelope,prec_ShrunkCovariance,0.916031797757633,96,96
105,cov_EllipticEnvelope,prec-sq_EmpiricalCovariance,0.41880402133979977,96,96
106,cov_EllipticEnvelope,prec-sq_EllipticEnvelope,0.45674916450802366,96,96
107,cov_EllipticEnvelope,prec-sq_GraphicalLasso,0.47230038397182134,96,96
108,cov_EllipticEnvelope,prec-sq_GraphicalLassoCV,0.31214458659854283,96,96
109,cov_EllipticEnvelope,prec-sq_LedoitWolf,0.2312464670729246,96,96
110,cov_EllipticEnvelope,prec-sq_MinCovDet,0.45337259487529014,96,96
111,cov_EllipticEnvelope,prec-sq_OAS,0.25791117005256387,96,96
112,cov_EllipticEnvelope,prec-sq_ShrunkCovariance,0.180213407161114,96,96
113,cov_EllipticEnvelope,spearmanr-sq,0.2966130351749655,96,96
114,cov_EllipticEnvelope,spearmanr,0.9282763852831603,96,96
115,cov_EllipticEnvelope,kendalltau-sq,0.30627679476625524,96,96
116,cov_EllipticEnvelope,kendalltau,0.9320154040609648,96,96
117,cov_EllipticEnvelope,xcorr_max_sig-True,0.3143283096141498,96,96
118,cov_EllipticEnvelope,xcorr-sq_max_sig-True,0.3088883840072831,96,96
119,cov_EllipticEnvelope,xcorr_mean_sig-True,0.20097717696995543,96,96
