path,class,instance,beta_tag,beta,r_rho,r_mi,rho_mi,r_mi_dce,rho_mi_dce,mi_median_abs_change
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I27_beta-5,iter2_LM,27,beta-5,5.0,0.18053265725367396,0.4375625068178678,0.7748866302199393,0.43876468946448816,0.7757897349381606,0.010780396069389742
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I27_beta-pi,iter2_LM,27,beta-pi,3.141592653589793,0.1487084354691684,0.30618182040154684,0.8395961712450455,0.3081837680810973,0.8397499759774318,0.011381064079449388
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I28_beta-2pi,iter2_LM,28,beta-2pi,6.283185307179586,0.24269841045780047,0.4280765853800514,0.7351751983892537,0.42973790965204456,0.7366065262677599,0.010698536146645843
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I28_beta-5,iter2_LM,28,beta-5,5.0,0.18528384420224478,0.3673328156899401,0.7819986144311838,0.36859856809925623,0.7830141073807515,0.01154582702408824
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I28_beta-pi,iter2_LM,28,beta-pi,3.141592653589793,0.16038734489881273,0.2680857634303112,0.9106117989363997,0.26969942002118624,0.9104575001329361,0.012687986312514443
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I29_beta-2pi,iter2_LM,29,beta-2pi,6.283185307179586,0.22020804847003694,0.4597559874040502,0.8139772377083943,0.46091935989065064,0.8146675331149557,0.009996258795767154
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I29_beta-5,iter2_LM,29,beta-5,5.0,0.15292986393108132,0.38986093611789385,0.8009273649904761,0.3918941215632471,0.80134740606724,0.010369008995251505
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I29_beta-pi,iter2_LM,29,beta-pi,3.141592653589793,0.10454125746259668,0.248134098842842,0.8225932442152177,0.25093821844035097,0.8227547353900436,0.011313569268790236
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I2_beta-2pi,iter2_LM,2,beta-2pi,6.283185307179586,0.3377154885336246,0.5029607081650159,0.8683871453219658,0.5031046599476663,0.8689106649522743,0.011834321458974895
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I2_beta-5,iter2_LM,2,beta-5,5.0,0.2997005430482368,0.46278505083259486,0.8537487807707493,0.4632769106567107,0.8541262739807787,0.01228252371497085
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I2_beta-pi,iter2_LM,2,beta-pi,3.141592653589793,0.32323375819379907,0.39931298651848013,0.8215452927671286,0.399689573927698,0.8218090916225227,0.013250700090632783
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I30_beta-2pi,iter2_LM,30,beta-2pi,6.283185307179586,0.2661573626270848,0.4617794614168641,0.856222774570871,0.4618361156599436,0.8565978155995413,0.010055199600842002
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I30_beta-5,iter2_LM,30,beta-5,5.0,0.2216361156874299,0.4061310336427947,0.8406288173446308,0.4068266082123409,0.8407998501808474,0.010540887915055475
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I30_beta-pi,iter2_LM,30,beta-pi,3.141592653589793,0.2258716899295442,0.3125448414979251,0.8001293010272313,0.31400916422599745,0.8002832645595708,0.010889165874852669
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I31_beta-2pi,iter2_LM,31,beta-2pi,6.283185307179586,0.3131455668851516,0.4948847728050702,0.8067405289178801,0.4954113503990739,0.80740956701077,0.01106262961452531
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I31_beta-5,iter2_LM,31,beta-5,5.0,0.27812629432497343,0.44558635903111204,0.7936480448562245,0.446338825501902,0.7942755795866598,0.011480191095481374
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I31_beta-pi,iter2_LM,31,beta-pi,3.141592653589793,0.33370352258805513,0.3751038752252414,0.7775391355933119,0.3755058956424096,0.7781834432913283,0.012588284757710344
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I32_beta-2pi,iter2_LM,32,beta-2pi,6.283185307179586,0.28765174578863917,0.4876469029821416,0.8854255574917832,0.48826459462133176,0.8856567440800898,0.010899780481808286
