connectivity,output,K,omega_mean_hz,omega_std_frac,eta,n_pcs_median,n_pcs_min,n_pcs_max,pass_rate
ring-unidirectional,phase,0.3,0.1,0.3,0.0,5,4,8,1.0
ring-unidirectional,phase,0.3,0.1,0.3,0.05,7,5,8,1.0
ring-unidirectional,phase,0.3,0.1,0.6,0.0,6,6,8,1.0
ring-unidirectional,phase,0.3,0.1,0.6,0.05,7,6,8,1.0
ring-unidirectional,phase,0.3,0.5,0.1,0.0,8,6,8,1.0
ring-unidirectional,phase,0.3,0.5,0.1,0.05,7,6,8,1.0
ring-unidirectional,phase,0.3,0.5,0.3,0.0,9,8,10,1.0
ring-unidirectional,phase,0.3,0.5,0.3,0.05,9,8,9,1.0
ring-unidirectional,phase,0.3,0.5,0.6,0.0,9,9,10,1.0
ring-unidirectional,phase,0.3,0.5,0.6,0.05,9,9,10,1.0
ring-unidirectional,phase,0.5,0.1,0.1,0.0,2,2,8,0.2
ring-unidirectional,phase,0.5,0.1,0.1,0.05,3,2,8,0.6
ring-unidirectional,phase,0.5,0.1,0.3,0.0,3,3,4,1.0
ring-unidirectional,phase,0.5,0.1,0.3,0.05,4,3,4,1.0
ring-unidirectional,phase,0.5,0.1,0.6,0.0,7,4,8,1.0
ring-unidirectional,phase,0.5,0.1,0.6,0.05,7,5,8,1.0
ring-unidirectional,phase,0.5,0.5,0.1,0.0,4,3,9,1.0
ring-unidirectional,phase,0.5,0.5,0.1,0.05,5,4,8,1.0
ring-unidirectional,phase,0.5,0.5,0.3,0.0,9,8,9,1.0
ring-unidirectional,phase,0.5,0.5,0.3,0.05,9,8,9,1.0
ring-unidirectional,phase,0.5,0.5,0.6,0.0,9,9,10,1.0
ring-unidirectional,phase,0.5,0.5,0.6,0.05,9,9,10,1.0
ring-unidirectional,phase,1.0,0.1,0.1,0.0,1,1,8,0.2
ring-unidirectional,phase,1.0,0.1,0.1,0.05,2,1,8,0.2
ring-unidirectional,phase,1.0,0.1,0.3,0.0,2,2,8,0.4
ring-unidirectional,phase,1.0,0.1,0.3,0.05,3,2,8,0.6
ring-unidirectional,phase,1.0,0.1,0.6,0.0,3,3,4,1.0
ring-unidirectional,phase,1.0,0.1,0.6,0.05,3,3,4,1.0
ring-unidirectional,phase,1.0,0.5,0.1,0.0,3,2,7,0.8
ring-unidirectional,phase,1.0,0.5,0.1,0.05,3,3,4,1.0
ring-unidirectional,phase,1.0,0.5,0.3,0.0,8,6,8,1.0
ring-unidirectional,phase,1.0,0.5,0.3,0.05,8,6,8,1.0
ring-unidirectional,phase,1.0,0.5,0.6,0.0,9,8,9,1.0
ring-unidirectional,phase,1.0,0.5,0.6,0.05,9,8,9,1.0
ring-unidirectional,phase,2.0,0.1,0.1,0.0,1,1,8,0.2
ring-unidirectional,phase,2.0,0.1,0.1,0.05,1,1,8,0.2
ring-unidirectional,phase,2.0,0.1,0.3,0.0,2,1,8,0.2
ring-unidirectional,phase,2.0,0.1,0.3,0.05,2,2,8,0.2
ring-unidirectional,phase,2.0,0.1,0.6,0.0,2,2,8,0.4
ring-unidirectional,phase,2.0,0.1,0.6,0.05,2,2,8,0.4
ring-unidirectional,phase,2.0,0.5,0.1,0.0,2,2,8,0.2
ring-unidirectional,phase,2.0,0.5,0.1,0.05,2,2,8,0.4
ring-unidirectional,phase,2.0,0.5,0.3,0.0,4,3,8,1.0
ring-unidirectional,phase,2.0,0.5,0.3,0.05,4,3,5,1.0
ring-unidirectional,phase,2.0,0.5,0.6,0.0,8,6,8,1.0
ring-unidirectional,phase,2.0,0.5,0.6,0.05,8,6,8,1.0
ring-unidirectional,phase,4.0,0.1,0.1,0.0,1,1,8,0.2
ring-unidirectional,phase,4.0,0.1,0.1,0.05,1,1,8,0.2
ring-unidirectional,phase,4.0,0.1,0.3,0.0,1,1,8,0.2
ring-unidirectional,phase,4.0,0.1,0.3,0.05,1,1,8,0.2
ring-unidirectional,phase,4.0,0.1,0.6,0.0,2,1,8,0.2
ring-unidirectional,phase,4.0,0.1,0.6,0.05,2,1,8,0.2
ring-unidirectional,phase,4.0,0.5,0.1,0.0,1,1,8,0.2
ring-unidirectional,phase,4.0,0.5,0.1,0.05,2,1,8,0.2
ring-unidirectional,phase,4.0,0.5,0.3,0.0,2,2,8,0.4
ring-unidirectional,phase,4.0,0.5,0.3,0.05,3,2,8,0.6
ring-unidirectional,phase,4.0,0.5,0.6,0.0,4,3,8,1.0
ring-unidirectional,phase,4.0,0.5,0.6,0.05,4,3,8,1.0
