class,M,T,I,n_pcs_95
kuramoto,20,2000,7,15
kuramoto,20,2000,8,13
kuramoto,20,2000,9,15
cauchy-noise,5,500,0,5
cauchy-noise,5,500,1,5
cauchy-noise,5,500,2,5
cauchy-noise,5,500,3,5
cauchy-noise,5,500,4,5
cauchy-noise,5,500,5,5
cauchy-noise,5,500,6,5
cauchy-noise,5,500,7,5
cauchy-noise,5,500,8,5
cauchy-noise,5,500,9,5
cauchy-noise,5,1000,0,5
cauchy-noise,5,1000,1,5
cauchy-noise,5,1000,2,5
cauchy-noise,5,1000,3,5
cauchy-noise,5,1000,4,5
cauchy-noise,5,1000,5,5
cauchy-noise,5,1000,6,5
cauchy-noise,5,1000,7,5
cauchy-noise,5,1000,8,5
cauchy-noise,5,1000,9,5
cauchy-noise,5,2000,0,5
cauchy-noise,5,2000,1,5
cauchy-noise,5,2000,2,5
cauchy-noise,5,2000,3,5
cauchy-noise,5,2000,4,5
cauchy-noise,5,2000,5,5
cauchy-noise,5,2000,6,5
cauchy-noise,5,2000,7,5
cauchy-noise,5,2000,8,5
cauchy-noise,5,2000,9,5
cauchy-noise,10,500,0,10
cauchy-noise,10,500,1,9
cauchy-noise,10,500,2,10
cauchy-noise,10,500,3,10
cauchy-noise,10,500,4,10
cauchy-noise,10,500,5,10
cauchy-noise,10,500,6,10
cauchy-noise,10,500,7,10
cauchy-noise,10,500,8,10
cauchy-noise,10,500,9,10
cauchy-noise,10,1000,0,10
cauchy-noise,10,1000,1,10
cauchy-noise,10,1000,2,10
cauchy-noise,10,1000,3,10
cauchy-noise,10,1000,4,10
cauchy-noise,10,1000,5,10
cauchy-noise,10,1000,6,10
cauchy-noise,10,1000,7,10
cauchy-noise,10,1000,8,10
cauchy-noise,10,1000,9,10
cauchy-noise,10,2000,0,10
cauchy-noise,10,2000,1,10
cauchy-noise,10,2000,2,10
cauchy-noise,10,2000,3,10
cauchy-noise,10,2000,4,10
cauchy-noise,10,2000,5,9
cauchy-noise,10,2000,6,10
cauchy-noise,10,2000,7,10
cauchy-noise,10,2000,8,10
cauchy-noise,10,2000,9,10
cauchy-noise,20,500,0,19
cauchy-noise,20,500,1,19
cauchy-noise,20,500,2,19
cauchy-noise,20,500,3,19
cauchy-noise,20,500,4,19
cauchy-noise,20,500,5,19
cauchy-noise,20,500,6,19
cauchy-noise,20,500,7,19
cauchy-noise,20,500,8,19
cauchy-noise,20,500,9,18
cauchy-noise,20,1000,0,19
cauchy-noise,20,1000,1,19
cauchy-noise,20,1000,2,19
cauchy-noise,20,1000,3,19
cauchy-noise,20,1000,4,19
cauchy-noise,20,1000,5,19
cauchy-noise,20,1000,6,19
cauchy-noise,20,1000,7,19
cauchy-noise,20,1000,8,19
cauchy-noise,20,1000,9,19
cauchy-noise,20,2000,0,19
cauchy-noise,20,2000,1,19
cauchy-noise,20,2000,2,19
cauchy-noise,20,2000,3,19
cauchy-noise,20,2000,4,19
cauchy-noise,20,2000,5,19
cauchy-noise,20,2000,6,19
cauchy-noise,20,2000,7,19
cauchy-noise,20,2000,8,19
cauchy-noise,20,2000,9,19
gaussian-noise,5,500,0,5
gaussian-noise,5,500,1,5
gaussian-noise,5,500,2,5
gaussian-noise,5,500,3,5
gaussian-noise,5,500,4,5
gaussian-noise,5,500,5,5
gaussian-noise,5,500,6,5
gaussian-noise,5,500,7,5
gaussian-noise,5,500,8,5
gaussian-noise,5,500,9,5
gaussian-noise,5,1000,0,5
gaussian-noise,5,1000,1,5
gaussian-noise,5,1000,2,5
gaussian-noise,5,1000,3,5
gaussian-noise,5,1000,4,5
gaussian-noise,5,1000,5,5
gaussian-noise,5,1000,6,5
gaussian-noise,5,1000,7,5
gaussian-noise,5,1000,8,5
gaussian-noise,5,1000,9,5
gaussian-noise,5,2000,0,5
gaussian-noise,5,2000,1,5
gaussian-noise,5,2000,2,5
gaussian-noise,5,2000,3,5
gaussian-noise,5,2000,4,5
gaussian-noise,5,2000,5,5
gaussian-noise,5,2000,6,5
gaussian-noise,5,2000,7,5
gaussian-noise,5,2000,8,5
gaussian-noise,5,2000,9,5
gaussian-noise,10,500,0,10
gaussian-noise,10,500,1,10
gaussian-noise,10,500,2,10
gaussian-noise,10,500,3,10
gaussian-noise,10,500,4,10
gaussian-noise,10,500,5,10
gaussian-noise,10,500,6,10
gaussian-noise,10,500,7,10
gaussian-noise,10,500,8,10
gaussian-noise,10,500,9,10
gaussian-noise,10,1000,0,10
gaussian-noise,10,1000,1,10
gaussian-noise,10,1000,2,10
gaussian-noise,10,1000,3,10
gaussian-noise,10,1000,4,10
gaussian-noise,10,1000,5,10
gaussian-noise,10,1000,6,10
gaussian-noise,10,1000,7,10
gaussian-noise,10,1000,8,10
gaussian-noise,10,1000,9,10
gaussian-noise,10,2000,0,10
gaussian-noise,10,2000,1,10
gaussian-noise,10,2000,2,10
gaussian-noise,10,2000,3,10
gaussian-noise,10,2000,4,10
gaussian-noise,10,2000,5,10
gaussian-noise,10,2000,6,10
gaussian-noise,10,2000,7,10
gaussian-noise,10,2000,8,10
gaussian-noise,10,2000,9,10
gaussian-noise,20,500,0,19
gaussian-noise,20,500,1,19
gaussian-noise,20,500,2,19
gaussian-noise,20,500,3,19
gaussian-noise,20,500,4,19
gaussian-noise,20,500,5,19
gaussian-noise,20,500,6,19
gaussian-noise,20,500,7,19
gaussian-noise,20,500,8,19
gaussian-noise,20,500,9,19
gaussian-noise,20,1000,0,19
gaussian-noise,20,1000,1,19
gaussian-noise,20,1000,2,19
gaussian-noise,20,1000,3,19
gaussian-noise,20,1000,4,19
gaussian-noise,20,1000,5,19
gaussian-noise,20,1000,6,19
gaussian-noise,20,1000,7,19
gaussian-noise,20,1000,8,19
gaussian-noise,20,1000,9,19
gaussian-noise,20,2000,0,19
gaussian-noise,20,2000,1,19
gaussian-noise,20,2000,2,19
gaussian-noise,20,2000,3,19
gaussian-noise,20,2000,4,19
gaussian-noise,20,2000,5,19
gaussian-noise,20,2000,6,19
gaussian-noise,20,2000,7,19
gaussian-noise,20,2000,8,19
gaussian-noise,20,2000,9,19
frozen-chaos,5,500,0,1
frozen-chaos,5,500,1,2
frozen-chaos,5,500,2,2
frozen-chaos,5,500,3,2
frozen-chaos,5,500,4,1
frozen-chaos,5,500,5,1
frozen-chaos,5,500,6,2
frozen-chaos,5,500,7,1
frozen-chaos,5,500,8,1
frozen-chaos,5,500,9,1
frozen-chaos,5,1000,0,1
frozen-chaos,5,1000,1,2
frozen-chaos,5,1000,2,1
frozen-chaos,5,1000,3,1
frozen-chaos,5,1000,4,1
frozen-chaos,5,1000,5,2
frozen-chaos,5,1000,6,1
frozen-chaos,5,1000,7,1
frozen-chaos,5,1000,8,1
frozen-chaos,5,1000,9,1
frozen-chaos,5,2000,0,2
frozen-chaos,5,2000,1,1
frozen-chaos,5,2000,2,1
frozen-chaos,5,2000,3,1
frozen-chaos,5,2000,4,2
frozen-chaos,5,2000,5,1
frozen-chaos,5,2000,6,1
frozen-chaos,5,2000,7,1
frozen-chaos,5,2000,8,1
frozen-chaos,5,2000,9,1
frozen-chaos,10,500,0,1
frozen-chaos,10,500,1,1
frozen-chaos,10,500,2,2
frozen-chaos,10,500,3,1
frozen-chaos,10,500,4,2
frozen-chaos,10,500,5,1
frozen-chaos,10,500,6,2
frozen-chaos,10,500,7,1
frozen-chaos,10,500,8,1
frozen-chaos,10,500,9,2
frozen-chaos,10,1000,0,1
frozen-chaos,10,1000,1,2
