class,M,T,I,n_pcs_95
sti-ii,20,1000,1,8
sti-ii,20,1000,2,8
sti-ii,20,1000,3,11
sti-ii,20,1000,4,11
sti-ii,20,1000,5,10
sti-ii,20,1000,6,11
sti-ii,20,1000,7,11
sti-ii,20,1000,8,10
sti-ii,20,1000,9,11
sti-ii,20,2000,0,11
sti-ii,20,2000,1,11
sti-ii,20,2000,2,11
sti-ii,20,2000,3,6
sti-ii,20,2000,4,10
sti-ii,20,2000,5,11
sti-ii,20,2000,6,11
sti-ii,20,2000,7,11
sti-ii,20,2000,8,12
sti-ii,20,2000,9,11
fdstc,5,500,0,4
fdstc,5,500,1,4
fdstc,5,500,2,4
fdstc,5,500,3,4
fdstc,5,500,4,4
fdstc,5,500,5,4
fdstc,5,500,6,4
fdstc,5,500,7,4
fdstc,5,500,8,4
fdstc,5,500,9,4
fdstc,5,1000,0,4
fdstc,5,1000,1,4
fdstc,5,1000,2,4
fdstc,5,1000,3,4
fdstc,5,1000,4,4
fdstc,5,1000,5,4
fdstc,5,1000,6,4
fdstc,5,1000,7,4
fdstc,5,1000,8,4
fdstc,5,1000,9,4
fdstc,5,2000,0,4
fdstc,5,2000,1,4
fdstc,5,2000,2,4
fdstc,5,2000,3,4
fdstc,5,2000,4,4
fdstc,5,2000,5,4
fdstc,5,2000,6,4
fdstc,5,2000,7,4
fdstc,5,2000,8,4
fdstc,5,2000,9,4
fdstc,10,500,0,7
fdstc,10,500,1,7
fdstc,10,500,2,7
fdstc,10,500,3,7
fdstc,10,500,4,7
fdstc,10,500,5,7
fdstc,10,500,6,7
fdstc,10,500,7,7
fdstc,10,500,8,7
fdstc,10,500,9,7
fdstc,10,1000,0,7
fdstc,10,1000,1,7
fdstc,10,1000,2,7
fdstc,10,1000,3,7
fdstc,10,1000,4,7
fdstc,10,1000,5,7
fdstc,10,1000,6,7
fdstc,10,1000,7,7
fdstc,10,1000,8,7
fdstc,10,1000,9,7
fdstc,10,2000,0,7
fdstc,10,2000,1,7
fdstc,10,2000,2,7
fdstc,10,2000,3,7
fdstc,10,2000,4,7
fdstc,10,2000,5,7
fdstc,10,2000,6,7
fdstc,10,2000,7,7
fdstc,10,2000,8,7
fdstc,10,2000,9,7
fdstc,20,500,0,13
fdstc,20,500,1,13
fdstc,20,500,2,12
fdstc,20,500,3,12
fdstc,20,500,4,13
fdstc,20,500,5,13
fdstc,20,500,6,12
fdstc,20,500,7,13
fdstc,20,500,8,13
fdstc,20,500,9,12
fdstc,20,1000,0,12
fdstc,20,1000,1,12
fdstc,20,1000,2,13
fdstc,20,1000,3,13
fdstc,20,1000,4,13
fdstc,20,1000,5,13
fdstc,20,1000,6,13
fdstc,20,1000,7,13
fdstc,20,1000,8,13
fdstc,20,1000,9,13
fdstc,20,2000,0,13
fdstc,20,2000,1,13
fdstc,20,2000,2,13
fdstc,20,2000,3,13
fdstc,20,2000,4,13
fdstc,20,2000,5,13
fdstc,20,2000,6,13
fdstc,20,2000,7,13
fdstc,20,2000,8,13
fdstc,20,2000,9,13
traveling-wave,5,500,0,1
traveling-wave,5,500,1,2
traveling-wave,5,500,2,1
traveling-wave,5,500,3,1
traveling-wave,5,500,4,1
traveling-wave,5,500,5,2
traveling-wave,5,500,6,1
traveling-wave,5,500,7,1
traveling-wave,5,500,8,1
traveling-wave,5,500,9,2
traveling-wave,5,1000,0,2
traveling-wave,5,1000,1,1
traveling-wave,5,1000,2,1
traveling-wave,5,1000,3,2
traveling-wave,5,1000,4,2
traveling-wave,5,1000,5,2
traveling-wave,5,1000,6,1
traveling-wave,5,1000,7,1
traveling-wave,5,1000,8,1
traveling-wave,5,1000,9,2
traveling-wave,5,2000,0,2
traveling-wave,5,2000,1,1
traveling-wave,5,2000,2,2
traveling-wave,5,2000,3,2
traveling-wave,5,2000,4,1
traveling-wave,5,2000,5,1
traveling-wave,5,2000,6,1
traveling-wave,5,2000,7,1
traveling-wave,5,2000,8,2
traveling-wave,5,2000,9,2
traveling-wave,10,500,0,2
traveling-wave,10,500,1,1
traveling-wave,10,500,2,2
traveling-wave,10,500,3,1
traveling-wave,10,500,4,1
traveling-wave,10,500,5,1
traveling-wave,10,500,6,2
traveling-wave,10,500,7,2
traveling-wave,10,500,8,3
traveling-wave,10,500,9,2
traveling-wave,10,1000,0,3
traveling-wave,10,1000,1,1
traveling-wave,10,1000,2,2
traveling-wave,10,1000,3,2
traveling-wave,10,1000,4,2
traveling-wave,10,1000,5,2
traveling-wave,10,1000,6,2
traveling-wave,10,1000,7,2
traveling-wave,10,1000,8,2
traveling-wave,10,1000,9,3
traveling-wave,10,2000,0,2
traveling-wave,10,2000,1,2
traveling-wave,10,2000,2,1
traveling-wave,10,2000,3,3
traveling-wave,10,2000,4,2
traveling-wave,10,2000,5,2
traveling-wave,10,2000,6,1
traveling-wave,10,2000,7,2
traveling-wave,10,2000,8,3
traveling-wave,10,2000,9,2
traveling-wave,20,500,0,2
traveling-wave,20,500,1,1
traveling-wave,20,500,2,2
traveling-wave,20,500,3,3
traveling-wave,20,500,4,2
traveling-wave,20,500,5,2
traveling-wave,20,500,6,1
traveling-wave,20,500,7,2
traveling-wave,20,500,8,3
traveling-wave,20,500,9,3
traveling-wave,20,1000,0,3
traveling-wave,20,1000,1,3
traveling-wave,20,1000,2,3
traveling-wave,20,1000,3,1
traveling-wave,20,1000,4,3
traveling-wave,20,1000,5,2
traveling-wave,20,1000,6,2
traveling-wave,20,1000,7,1
traveling-wave,20,1000,8,1
traveling-wave,20,1000,9,2
traveling-wave,20,2000,0,2
traveling-wave,20,2000,1,2
traveling-wave,20,2000,2,3
traveling-wave,20,2000,3,3
traveling-wave,20,2000,4,2
traveling-wave,20,2000,5,3
traveling-wave,20,2000,6,2
traveling-wave,20,2000,7,3
traveling-wave,20,2000,8,3
traveling-wave,20,2000,9,2
chaotic-traveling-wave,5,500,0,2
chaotic-traveling-wave,5,500,1,2
chaotic-traveling-wave,5,500,2,1
chaotic-traveling-wave,5,500,3,2
chaotic-traveling-wave,5,500,4,1
chaotic-traveling-wave,5,500,5,1
chaotic-traveling-wave,5,500,6,1
chaotic-traveling-wave,5,500,7,2
chaotic-traveling-wave,5,500,8,1
chaotic-traveling-wave,5,500,9,2
chaotic-traveling-wave,5,1000,0,1
chaotic-traveling-wave,5,1000,1,2
chaotic-traveling-wave,5,1000,2,2
chaotic-traveling-wave,5,1000,3,2
chaotic-traveling-wave,5,1000,4,2
chaotic-traveling-wave,5,1000,5,2
chaotic-traveling-wave,5,1000,6,2
chaotic-traveling-wave,5,1000,7,1
chaotic-traveling-wave,5,1000,8,2
chaotic-traveling-wave,5,1000,9,3
chaotic-traveling-wave,5,2000,0,2
chaotic-traveling-wave,5,2000,1,2
chaotic-traveling-wave,5,2000,2,2
chaotic-traveling-wave,5,2000,3,2
chaotic-traveling-wave,5,2000,4,2
chaotic-traveling-wave,5,2000,5,2
chaotic-traveling-wave,5,2000,6,3
chaotic-traveling-wave,5,2000,7,2
chaotic-traveling-wave,5,2000,8,2
chaotic-traveling-wave,5,2000,9,2
chaotic-traveling-wave,10,500,0,2
chaotic-traveling-wave,10,500,1,3
chaotic-traveling-wave,10,500,2,1
chaotic-traveling-wave,10,500,3,2
chaotic-traveling-wave,10,500,4,2
chaotic-traveling-wave,10,500,5,2
chaotic-traveling-wave,10,500,6,3
chaotic-traveling-wave,10,500,7,1
chaotic-traveling-wave,10,500,8,3
chaotic-traveling-wave,10,500,9,3
chaotic-traveling-wave,10,1000,0,2
chaotic-traveling-wave,10,1000,1,3
chaotic-traveling-wave,10,1000,2,3
chaotic-traveling-wave,10,1000,3,2
chaotic-traveling-wave,10,1000,4,2
chaotic-traveling-wave,10,1000,5,2
chaotic-traveling-wave,10,1000,6,3
chaotic-traveling-wave,10,1000,7,3
chaotic-traveling-wave,10,1000,8,2
chaotic-traveling-wave,10,1000,9,2
chaotic-traveling-wave,10,2000,0,2
chaotic-traveling-wave,10,2000,1,3
chaotic-traveling-wave,10,2000,2,3
chaotic-traveling-wave,10,2000,3,3
chaotic-traveling-wave,10,2000,4,3
chaotic-traveling-wave,10,2000,5,3
chaotic-traveling-wave,10,2000,6,3
chaotic-traveling-wave,10,2000,7,3
chaotic-traveling-wave,10,2000,8,4
chaotic-traveling-wave,10,2000,9,2
chaotic-traveling-wave,20,500,0,3
chaotic-traveling-wave,20,500,1,1
chaotic-traveling-wave,20,500,2,4
chaotic-traveling-wave,20,500,3,3
chaotic-traveling-wave,20,500,4,7
chaotic-traveling-wave,20,500,5,4
chaotic-traveling-wave,20,500,6,3
chaotic-traveling-wave,20,500,7,2
chaotic-traveling-wave,20,500,8,4
chaotic-traveling-wave,20,500,9,6
chaotic-traveling-wave,20,1000,0,2
chaotic-traveling-wave,20,1000,1,2
chaotic-traveling-wave,20,1000,2,4
chaotic-traveling-wave,20,1000,3,6
chaotic-traveling-wave,20,1000,4,6
chaotic-traveling-wave,20,1000,5,6
chaotic-traveling-wave,20,1000,6,2
chaotic-traveling-wave,20,1000,7,6
chaotic-traveling-wave,20,1000,8,5
chaotic-traveling-wave,20,1000,9,5
chaotic-traveling-wave,20,2000,0,7
chaotic-traveling-wave,20,2000,1,7
chaotic-traveling-wave,20,2000,2,7
chaotic-traveling-wave,20,2000,3,7
chaotic-traveling-wave,20,2000,4,5
chaotic-traveling-wave,20,2000,5,3
chaotic-traveling-wave,20,2000,6,7
chaotic-traveling-wave,20,2000,7,4
chaotic-traveling-wave,20,2000,8,3
chaotic-traveling-wave,20,2000,9,5
traveling-wave-kaneko67,5,500,0,2
traveling-wave-kaneko67,5,500,1,1
traveling-wave-kaneko67,5,500,2,2
traveling-wave-kaneko67,5,500,3,3
traveling-wave-kaneko67,5,500,4,2
traveling-wave-kaneko67,5,500,5,2
traveling-wave-kaneko67,5,500,6,2
traveling-wave-kaneko67,5,500,7,1
traveling-wave-kaneko67,5,500,8,2
traveling-wave-kaneko67,5,500,9,2
traveling-wave-kaneko67,5,1000,0,1
traveling-wave-kaneko67,5,1000,1,2
traveling-wave-kaneko67,5,1000,2,2
traveling-wave-kaneko67,5,1000,3,2
traveling-wave-kaneko67,5,1000,4,2
traveling-wave-kaneko67,5,1000,5,2
traveling-wave-kaneko67,5,1000,6,2
traveling-wave-kaneko67,5,1000,7,2
traveling-wave-kaneko67,5,1000,8,2
traveling-wave-kaneko67,5,1000,9,1
traveling-wave-kaneko67,5,2000,0,2
traveling-wave-kaneko67,5,2000,1,2
traveling-wave-kaneko67,5,2000,2,2
traveling-wave-kaneko67,5,2000,3,1
traveling-wave-kaneko67,5,2000,4,2
traveling-wave-kaneko67,5,2000,5,1
traveling-wave-kaneko67,5,2000,6,2
traveling-wave-kaneko67,5,2000,7,1
traveling-wave-kaneko67,5,2000,8,2
traveling-wave-kaneko67,5,2000,9,2
traveling-wave-kaneko67,10,500,0,1
traveling-wave-kaneko67,10,500,1,2
traveling-wave-kaneko67,10,500,2,4
traveling-wave-kaneko67,10,500,3,2
traveling-wave-kaneko67,10,500,4,2
traveling-wave-kaneko67,10,500,5,2
traveling-wave-kaneko67,10,500,6,4
traveling-wave-kaneko67,10,500,7,2
traveling-wave-kaneko67,10,500,8,1
traveling-wave-kaneko67,10,500,9,3
traveling-wave-kaneko67,10,1000,0,1
traveling-wave-kaneko67,10,1000,1,1
traveling-wave-kaneko67,10,1000,2,1
traveling-wave-kaneko67,10,1000,3,2
traveling-wave-kaneko67,10,1000,4,2
traveling-wave-kaneko67,10,1000,5,2
traveling-wave-kaneko67,10,1000,6,3
traveling-wave-kaneko67,10,1000,7,2
traveling-wave-kaneko67,10,1000,8,3
traveling-wave-kaneko67,10,1000,9,3
traveling-wave-kaneko67,10,2000,0,3
traveling-wave-kaneko67,10,2000,1,2
traveling-wave-kaneko67,10,2000,2,2
traveling-wave-kaneko67,10,2000,3,2
traveling-wave-kaneko67,10,2000,4,2
traveling-wave-kaneko67,10,2000,5,3
traveling-wave-kaneko67,10,2000,6,3
traveling-wave-kaneko67,10,2000,7,2
traveling-wave-kaneko67,10,2000,8,1
traveling-wave-kaneko67,10,2000,9,2
traveling-wave-kaneko67,20,500,0,2
traveling-wave-kaneko67,20,500,1,3
traveling-wave-kaneko67,20,500,2,2
traveling-wave-kaneko67,20,500,3,3
traveling-wave-kaneko67,20,500,4,2
traveling-wave-kaneko67,20,500,5,2
traveling-wave-kaneko67,20,500,6,1
traveling-wave-kaneko67,20,500,7,1
traveling-wave-kaneko67,20,500,8,3
traveling-wave-kaneko67,20,500,9,4
traveling-wave-kaneko67,20,1000,0,3
traveling-wave-kaneko67,20,1000,1,3
traveling-wave-kaneko67,20,1000,2,2
traveling-wave-kaneko67,20,1000,3,2
traveling-wave-kaneko67,20,1000,4,2
traveling-wave-kaneko67,20,1000,5,2
traveling-wave-kaneko67,20,1000,6,3
traveling-wave-kaneko67,20,1000,7,5
traveling-wave-kaneko67,20,1000,8,2
traveling-wave-kaneko67,20,1000,9,7
traveling-wave-kaneko67,20,2000,0,2
traveling-wave-kaneko67,20,2000,1,3
traveling-wave-kaneko67,20,2000,2,2
traveling-wave-kaneko67,20,2000,3,3
traveling-wave-kaneko67,20,2000,4,3
traveling-wave-kaneko67,20,2000,5,5
traveling-wave-kaneko67,20,2000,6,5
traveling-wave-kaneko67,20,2000,7,2
traveling-wave-kaneko67,20,2000,8,2
traveling-wave-kaneko67,20,2000,9,2
