combo,silhouette,1NN_same_global,5NN_same_global,kuramoto→gaussian_1NN,gaussian→kuramoto_1NN
(a) raw+euclid,0.6870557069778442,0.98,0.9755555555555555,0.044444444444444446,0.03333333333333333
(b) scaled+euclid,0.7322665452957153,0.9777777777777777,0.9755555555555555,0.022222222222222223,0.011111111111111112
(c) raw+corr,0.8113263845443726,0.9977777777777778,0.9968888888888889,0.0,0.011111111111111112
(d) raw+cosine,0.8071205019950867,0.9977777777777778,0.9964444444444444,0.0,0.011111111111111112
