class,seed,f0,f1,f2,f3,f4,f5
gaussian,0,0.028231829747416518,0.03640340994045082,0.011737616262642794,2.9709164956584475,0.018718042452635412,0.07870972587466955
gaussian,1,0.0239755347958446,0.035825958034701594,-0.0007497141216305254,3.0636554218126077,0.018868332611329697,0.1897734083932813
gaussian,2,0.024968814565279645,0.036455003311461204,0.021390210774147173,2.99030509929207,0.018928611922155864,0.09827615745947743
gaussian,3,0.026847029517867185,0.034898655048666606,0.0008732936384639661,2.938591853911773,0.02018907949071453,0.1263018148622576
gaussian,4,0.024854407897017226,0.03679182331662485,0.012358208965316945,3.0433341550216424,0.01726092782237925,0.16283956408935912
gaussian,5,0.024482447552853875,0.0361561775491034,0.0046045659719273725,2.9592635589258647,0.01828891030332652,0.16335599365821413
gaussian,6,0.024860331261856355,0.033545967654090646,0.016167463532278596,3.018457824788941,0.019101604762066928,0.14700999447847926
gaussian,7,0.026517652397289686,0.03665717770622155,-0.005184768096064561,3.0043140355048963,0.018601593650613486,0.14224811980441296
gaussian,8,0.026955637890307967,0.038998061101814745,-0.00025522219962830704,3.0319318335315755,0.01840538707091515,0.12984741646447956
gaussian,9,0.02530133043875777,0.040379415054029935,-0.014989886126350752,2.930307098568874,0.018802068600893725,0.12927327012627407
gaussian,10,0.02904599158148854,0.03884178856923543,0.009599022324752713,3.0327983681929083,0.018408105927047357,0.12835107721962252
gaussian,11,0.026095897494926863,0.03735365771430418,-0.0052033222784371195,3.0102138027083365,0.01907854212171498,0.10982052119253487
gaussian,12,0.026165846747883047,0.034749030160361474,-0.012964248987741225,2.961758134683034,0.01794111301264472,0.09831108574356265
gaussian,13,0.023142210119014624,0.037018834247469094,-0.00961972228326149,3.0409527372612586,0.017171362106042736,0.14378820823741076
gaussian,14,0.019250951029559676,0.03389863481634687,-0.002987669830988684,2.951469272828162,0.018984142996069143,0.12870545440710984
gaussian,15,0.02749488733049021,0.036144094411036845,0.004593555780794894,2.952528948101919,0.01871708393503783,0.1673589949871981
gaussian,16,0.021792259991613473,0.036462650930519744,-0.012710178268411207,2.9429039638569554,0.017828908295114635,0.15501513991709204
gaussian,17,0.02163487098358523,0.035524064645433576,0.0048723553935959615,2.9590310783441196,0.01829022518503536,0.12331382253472237
gaussian,18,0.02403753934860272,0.03447071823723485,-0.002397514440789096,3.0057264306400437,0.01953307727773438,0.10116810441815395
gaussian,19,0.026577655060044354,0.036015688712215194,-0.0010327149192868729,3.00422446349029,0.018082885160346847,0.1098899707164512
cauchy,0,0.009018870859757168,0.08118030099108925,-0.001046022157031813,470.22168772898885,0.013201237414503441,0.14919676294164572
cauchy,1,0.011532075404107688,0.16675603271889064,0.0033728498342419184,614.0169597916351,0.03372881908476524,0.15876876119454356
cauchy,2,0.008872663059107656,0.052025839561873365,-0.004961386057508245,353.88200273710356,0.014809186124041775,0.18914843411181897
cauchy,3,0.016889832722108408,0.05806306708048623,-0.005062818336215644,469.9676110794409,0.014979800406429173,0.1706114778295631
cauchy,4,0.007612232901057672,0.0673391145865301,-0.0014698802460941635,501.01681618649826,0.013949453581945086,0.11328125
cauchy,5,0.005602270162883469,0.07738867921313954,-0.03622087097764813,473.1869780528244,0.039089181793986315,0.14683551663447267
cauchy,6,0.01495338913934826,0.06248914422730239,0.008676719727673848,441.65417734561225,0.013261393284081874,0.1525359364676485
cauchy,7,0.01391820884965315,0.0535552636315518,-0.017642982129265194,299.0037947407818,0.015246487364194755,0.1468043380553688
cauchy,8,0.007400699394614989,0.06675329001488474,-0.008935182204272848,371.39940737040513,0.013494366688427439,0.17219607793969205
cauchy,9,0.006162490437040105,0.0569806321572849,-0.003632479625966534,524.146992972228,0.013031063988030559,0.10476909133900131
cauchy,10,0.0076674298178192185,0.1253693922550024,0.0071231610491404255,555.1734083496551,0.017821247173534234,0.1338430833000556
cauchy,11,0.009631685844758521,0.0559830680320858,-0.003109537790015713,367.45059452582467,0.01438689855407126,0.1360452159440015
cauchy,12,0.01883057217791145,0.07519580882252236,0.0023949481271120523,402.4200304726909,0.01464095084418245,0.16991109879622526
cauchy,13,0.007929059832666847,0.16495884303188552,0.0032934009607743947,611.5912688278104,0.021822226119270698,0.13697297791786342
cauchy,14,0.0026069826508554705,0.1513879518390414,0.0008176568388071744,721.1813708528829,0.012616466375173377,0.14659683183314579
cauchy,15,0.008813488450581084,0.07246197142822255,0.00020097833899797662,503.87589738005556,0.01339829427161752,0.1514602788339343
cauchy,16,0.006828773391962476,0.07183610407725839,-0.009304614452399764,477.95014083246207,0.012302596541112027,0.14614596326318766
cauchy,17,0.004969565609045873,0.08761214081453134,-0.0014670031490802119,553.3694216968868,0.01250007529546288,0.1594807591806238
cauchy,18,0.02950234579444164,0.10738771453702473,0.004142449789412541,537.7956782268851,0.03300954165408089,0.10761984598576603
cauchy,19,0.009088532414385606,0.06974889556645007,0.0016352183804186466,437.18726565991,0.013363699913199209,0.14068791995161667
var-ring,0,0.536274079715023,0.4656126064096053,0.8352362142473215,2.909211925559915,0.1797143098370761,0.00234375
var-ring,1,0.5530843796580954,0.5099428590888678,0.8336573650198977,2.8323894859652716,0.27463154557295116,0.0
var-ring,2,0.6559983173325775,0.6055872622187115,0.8750035332210097,2.80521647643081,0.1694539939781294,0.00234375
