path,class,instance,p_step,max_lag,ed_xd,ed_dtw,dtw_xd
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/dtw-euclidean-260924/data/pstep-0.0_maxlag-0/M20_T1000_I3,pstep-0.0_maxlag-0,3,0.0,0,1.0,0.9994372598975284,0.9994372598975282
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/dtw-euclidean-260924/data/pstep-0.0_maxlag-0/M20_T1000_I30,pstep-0.0_maxlag-0,30,0.0,0,0.9999999999999999,0.9995483252276506,0.999548325227651
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/dtw-euclidean-260924/data/pstep-0.0_maxlag-0/M20_T1000_I31,pstep-0.0_maxlag-0,31,0.0,0,1.0,0.9991559601048781,0.999155960104878
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/dtw-euclidean-260924/data/pstep-0.0_maxlag-0/M20_T1000_I32,pstep-0.0_maxlag-0,32,0.0,0,1.0,0.9989726977000173,0.9989726977000174
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/dtw-euclidean-260924/data/pstep-0.0_maxlag-0/M20_T1000_I33,pstep-0.0_maxlag-0,33,0.0,0,0.9999999999999999,0.9995048171844765,0.9995048171844768
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/dtw-euclidean-260924/data/pstep-0.0_maxlag-0/M20_T1000_I34,pstep-0.0_maxlag-0,34,0.0,0,1.0,0.9994596093343129,0.9994596093343128
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/dtw-euclidean-260924/data/pstep-0.0_maxlag-0/M20_T1000_I35,pstep-0.0_maxlag-0,35,0.0,0,1.0,0.9992723899308942,0.9992723899308942
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/dtw-euclidean-260924/data/pstep-0.0_maxlag-0/M20_T1000_I36,pstep-0.0_maxlag-0,36,0.0,0,0.9999999999999998,0.9991991311599825,0.9991991311599824
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/dtw-euclidean-260924/data/pstep-0.0_maxlag-0/M20_T1000_I37,pstep-0.0_maxlag-0,37,0.0,0,1.0,0.999030243178775,0.9990302431787749
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/dtw-euclidean-260924/data/pstep-0.0_maxlag-0/M20_T1000_I38,pstep-0.0_maxlag-0,38,0.0,0,1.0,0.9993397695620138,0.9993397695620138
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/dtw-euclidean-260924/data/pstep-0.0_maxlag-0/M20_T1000_I39,pstep-0.0_maxlag-0,39,0.0,0,1.0,0.9991695221417699,0.99916952214177
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/dtw-euclidean-260924/data/pstep-0.0_maxlag-0/M20_T1000_I4,pstep-0.0_maxlag-0,4,0.0,0,0.9999999999999999,0.9994408594474631,0.9994408594474634
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/dtw-euclidean-260924/data/pstep-0.0_maxlag-0/M20_T1000_I40,pstep-0.0_maxlag-0,40,0.0,0,1.0,0.9990544388793056,0.9990544388793058
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/dtw-euclidean-260924/data/pstep-0.0_maxlag-0/M20_T1000_I41,pstep-0.0_maxlag-0,41,0.0,0,0.9999999999999999,0.9993476669061799,0.9993476669061798
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/dtw-euclidean-260924/data/pstep-0.0_maxlag-0/M20_T1000_I42,pstep-0.0_maxlag-0,42,0.0,0,1.0,0.9994021800095892,0.9994021800095895
