original_run_path,metadata_records,catalogue,sha256,n_spis,decision,current_physical_path,storage_status,recommendation
/scratch/ql44/we2614/mts-spi-data/order_parameter/stuart_landau_locking_boundary_confirmation,152,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/stuart-landau/runs/stuart_landau_locking_boundary_confirmation,live,retain
/scratch/ql44/we2614/mts-spi-data/order_parameter/stuart_landau_locking_boundary_preproduction_smoke_178136812,2,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,,deleted_authorized,already_removed
/g/data/ql44/we2614/mts-spi-archives/storage-cleanup-260922/260726_r1_demo.tar.zst,24,configs/pyspi-v2/benchmarked90_amortized_config.yaml,,297,flag_delete_non_p90_archive,/g/data/ql44/we2614/eeml-2026-application/archives/july-2026/260726_r1_demo.tar.zst,available_archive,flagged_for_deletion_not_deleted
/g/data/ql44/we2614/mts-spi-archives/storage-cleanup-260922/260726_r1_nonlinear.tar.zst,4500,configs/pyspi-v2/benchmarked90_amortized_config.yaml,,297,flag_delete_non_p90_archive,/g/data/ql44/we2614/eeml-2026-application/archives/july-2026/260726_r1_nonlinear.tar.zst,available_archive,flagged_for_deletion_not_deleted
/g/data/ql44/we2614/mts-spi-archives/storage-cleanup-260922/260727_r0_297.tar.zst,3000,configs/pyspi-v2/benchmarked90_amortized_config.yaml,,297,flag_delete_non_p90_archive,/g/data/ql44/we2614/eeml-2026-application/archives/july-2026/260727_r0_297.tar.zst,available_archive,flagged_for_deletion_not_deleted
/g/data/ql44/we2614/mts-spi-archives/storage-cleanup-260922/260727_r1_probe.tar.zst,9,configs/pyspi-v2/benchmarked90_amortized_config.yaml,,297,flag_delete_non_p90_archive,/g/data/ql44/we2614/eeml-2026-application/archives/july-2026/260727_r1_probe.tar.zst,available_archive,flagged_for_deletion_not_deleted
/g/data/ql44/we2614/mts-spi-archives/storage-cleanup-260922/260728_r1b_obs.tar.zst,3000,configs/pyspi-v2/benchmarked90_amortized_config.yaml,,297,flag_delete_non_p90_archive,/g/data/ql44/we2614/eeml-2026-application/archives/july-2026/260728_r1b_obs.tar.zst,available_archive,flagged_for_deletion_not_deleted
/g/data/ql44/we2614/mts-spi-archives/legacy-proof-v2/proof_benchmarked80_260603.tar.zst,900,configs/pyspi-v2/benchmarked80_amortized_config.yaml,,267,flag_delete_non_p90_archive,/g/data/ql44/we2614/mts-spi-study/archives/proof/legacy-v2/proof_benchmarked80_260603.tar.zst,available_archive,flagged_for_deletion_not_deleted
/g/data/ql44/we2614/mts-spi-archives/legacy-proof-v2/proof_benchmarked90_260603.tar.zst,900,configs/pyspi-v2/benchmarked90_amortized_config.yaml,,297,flag_delete_non_p90_archive,/g/data/ql44/we2614/mts-spi-study/archives/proof/legacy-v2/proof_benchmarked90_260603.tar.zst,available_archive,flagged_for_deletion_not_deleted
/g/data/ql44/we2614/mts-spi-archives/legacy-proof-v2/proof_benchmarked95_260603.tar.zst,900,configs/pyspi-v2/benchmarked95_amortized_config.yaml,,312,flag_delete_non_p90_archive,/g/data/ql44/we2614/mts-spi-study/archives/proof/legacy-v2/proof_benchmarked95_260603.tar.zst,available_archive,flagged_for_deletion_not_deleted
/g/data/ql44/we2614/mts-spi-archives/cml2d_period_doubling_260911.tar,690,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified_archive,/g/data/ql44/we2614/mts-spi-study/archives/order-parameter-inference/cml2d/cml2d_period_doubling_260911.tar,available_archive,retain
/scratch/ql44/we2614/spi-spi-direction-v2/cml_embedding.npz,1,configs/pyspi-v2/benchmarked90_amortized_config.yaml,,,flag_delete_non_p90_feature_provenance,/scratch/ql44/we2614/mts-spi-study/legacy-non-p90/features/cml_embedding.npz,live,flagged_for_deletion_not_deleted
