original_path,entries_before_cleanup,logical_MiB,oldest_file_mtime,newest_file_mtime,spi_mpis_count,timeseries_count,symlink_target
/scratch/ql44/we2614/mts-spi-data/order_parameter/kuramoto_physics_smoke,11,0.18,2026-08-22,2026-08-22,0,0,
/scratch/ql44/we2614/mts-spi-data/order_parameter/kuramoto_smoke,12,0.47,2026-08-22,2026-08-22,2,2,
/scratch/ql44/we2614/mts-spi-data/order_parameter/miller_huse_confirmation,1082,223.58,2026-09-01,2026-09-01,216,216,
/scratch/ql44/we2614/mts-spi-data/order_parameter/miller_huse_development,1442,297.72,2026-09-01,2026-09-01,288,288,
/scratch/ql44/we2614/mts-spi-data/order_parameter/miller_huse_physics_audit,724,1.43,2026-08-22,2026-08-22,0,0,
/scratch/ql44/we2614/mts-spi-data/order_parameter/miller_huse_physics_long_truth,65,0.14,2026-09-01,2026-09-01,0,0,
/scratch/ql44/we2614/mts-spi-data/order_parameter/miller_huse_physics_primary,484,1.03,2026-08-22,2026-08-22,0,0,
/scratch/ql44/we2614/mts-spi-data/order_parameter/miller_huse_physics_stationarity,164,0.52,2026-09-01,2026-09-01,0,0,
/scratch/ql44/we2614/mts-spi-data/order_parameter/quadratic_cml_development,6125,1057.37,2026-09-01,2026-09-01,1224,1224,
/scratch/ql44/we2614/mts-spi-data/order_parameter/spin_order_smoke,7,0.78,2026-08-22,2026-08-22,1,1,
/scratch/ql44/we2614/mts-spi-data/order_parameter/stuart_landau_confirmation,6483,1138.95,2026-09-01,2026-09-01,1296,1296,
/scratch/ql44/we2614/mts-spi-data/order_parameter/stuart_landau_development,7203,1264.33,2026-09-01,2026-09-01,1440,1440,
/scratch/ql44/we2614/mts-spi-data/order_parameter/stuart_landau_locking_boundary_confirmation,762,259.41,2026-09-03,2026-09-03,152,152,
/scratch/ql44/we2614/mts-spi-data/order_parameter/stuart_landau_locking_boundary_confirmation_analysis,4,0.09,2026-09-03,2026-09-03,0,0,
/scratch/ql44/we2614/mts-spi-data/order_parameter/stuart_landau_locking_boundary_preproduction_smoke_178136812,11,3.26,2026-09-03,2026-09-03,2,2,
/scratch/ql44/we2614/mts-spi-data/order_parameter/vicsek_observation_260910,55,97.71,2026-09-09,2026-09-10,0,0,
/scratch/ql44/we2614/mts-spi-data/zenodo_7118947,1,0.0,,,0,0,/g/data/ql44/we2614/mts-spi-data/zenodo_7118947
