feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1),n_CML
0,anm,bary-sq_euclidean_max,0.3842763763789141,64,64
1,anm,bary-sq_euclidean_mean,0.13236649148466728,64,64
2,anm,bary_euclidean_max,0.3667955887719054,64,64
3,anm,bary_euclidean_mean,0.171875,64,64
4,anm,cce_gaussian,0.28930389548538127,64,64
5,anm,cce_kernel_W-0.5,0.35711925263710004,64,64
6,anm,cce_kozachenko,0.8919272459198464,64,64
7,anm,cds,0.6302124003436487,64,64
8,anm,ce_gaussian,0.6077445125065192,64,64
9,anm,ce_kernel_W-0.5,0.48783570382508273,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3921043952493082,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.3151975221011862,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3658044553358365,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5463523665843495,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.36754592159570143,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5265884361013097,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.024969572245387983,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.015324941787720814,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.03705694655642844,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.5532413741188222,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.08603676862885218,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.5455852762815224,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.041942487245280685,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.47239171100058397,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.12281523342979431,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.4692247184085565,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.08266386564837991,64,64
27,anm,cov-sq_EmpiricalCovariance,0.7910318368878906,64,64
28,anm,cov-sq_GraphicalLasso,0.7932168546931934,64,64
29,anm,cov-sq_LedoitWolf,0.7666121602998472,64,64
30,anm,cov-sq_OAS,0.7666121602998472,64,64
31,anm,cov-sq_ShrunkCovariance,0.7910318368878906,64,64
32,anm,cov_EmpiricalCovariance,0.1430261710250036,64,64
33,anm,cov_GraphicalLasso,0.14922590534098254,64,64
34,anm,cov_GraphicalLassoCV,0.1211270802121554,64,64
35,anm,cov_LedoitWolf,0.14694664159310153,64,64
36,anm,cov_OAS,0.14694664159310153,64,64
37,anm,cov_ShrunkCovariance,0.1430261710250036,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.4370101078124152,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.23132534866274176,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.5165632739585674,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.28666911512093074,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.19469977413990752,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.3550403897104474,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3274636010676476,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.0679870338721647,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.42082643903634814,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.12684845519257748,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.035652697572010394,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.17907413932801675,64,64
50,anm,di_gaussian,0.5987279744759594,64,64
51,anm,di_kernel_W-0.5,0.7226951465913162,64,64
52,anm,di_kozachenko,0.669760138151363,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.006406449178292084,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.026441521664421264,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.013297536403222288,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5611864124023191,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4045321182539623,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5821465497583158,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.006475526868667314,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.029173924656114236,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.013298653104135472,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.6013505673218513,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4750376986906418,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5849484254605133,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.24469003250360322,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.1887427966678148,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.23691223728221877,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.17822812246589914,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.19264119342112723,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.20077676957475926,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.49494978998280537,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.1875,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.203125,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.21875,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3650376999513326,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.25737881725608047,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.33324653570335083,64,64
78,anm,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.43530865841202704,64,64
79,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.38359066441301143,64,64
80,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.4740731371092617,64,64
81,anm,gwtau,0.20926267182762298,64,64
82,anm,hsic,0.8329115533483501,64,64
83,anm,hsic_biased,0.9142521495112389,64,64
84,anm,icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.2977345761690305,64,64
85,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.22796914629077975,64,64
86,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.2903229193486102,64,64
87,anm,icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.3943861881853763,64,64
88,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.2281743572371313,64,64
89,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.3608158974181665,64,64
90,anm,igci,0.42777467257066987,64,64
91,anm,je_gaussian,0.607800381779014,64,64
92,anm,je_kernel_W-0.5,0.45931068420589416,64,64
93,anm,je_kozachenko,0.7289140179863423,64,64
94,anm,kendalltau,0.13093829289639206,64,64
95,anm,kendalltau-sq,0.7889328555311902,64,64
96,anm,lmfit_BayesianRidge,0.6072543772476737,64,64
97,anm,lmfit_ElasticNet,0.22451491033390192,64,64
98,anm,lmfit_Lasso,0.07614781113883184,64,64
99,anm,lmfit_Ridge,0.6073418173628338,64,64
100,anm,lmfit_SGDRegressor,0.6065236178400174,64,64
101,anm,mi_gaussian,0.7910318368878906,64,64
102,anm,mi_kernel_W-0.25,0.8674507988256689,64,64
103,anm,mi_kraskov_NN-4,0.6792483245584144,64,64
104,anm,mi_kraskov_NN-4_DCE,0.6029122657644779,64,64
105,anm,pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.24469003250360322,64,64
106,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.1887427966678148,64,64
107,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.23691223728221877,64,64
108,anm,pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.17822812246589914,64,64
109,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.19264119342112723,64,64
110,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.20077676957475926,64,64
111,anm,pdist_braycurtis,0.20673085399796887,64,64
112,anm,pdist_canberra,0.2139713128065211,64,64
113,anm,pdist_chebyshev,0.44586144178677584,64,64
114,anm,pdist_cityblock,0.22560785410367634,64,64
115,anm,pdist_cosine,0.20554716580824156,64,64
116,anm,pdist_euclidean,0.20554716580824156,64,64
117,anm,pec,0.2977860034877644,64,64
118,anm,pec_log,0.28716039460868226,64,64
119,anm,pec_orth,0.19151378859755652,64,64
120,anm,pec_orth_abs,0.6113640802726179,64,64
121,anm,pec_orth_log,0.21806750522502813,64,64
122,anm,pec_orth_log_abs,0.5668399349935762,64,64
123,anm,phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.029682121300719344,64,64
124,anm,phase_multitaper_max_fs-1_fmin-0_fmax-0-25,0.29579866533465987,64,64
125,anm,phase_multitaper_max_fs-1_fmin-0_fmax-0-5,0.2606387690857197,64,64
126,anm,phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.171875,64,64
127,anm,phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.43561953543926124,64,64
128,anm,phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.435664844668712,64,64
129,anm,pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.011521734905423936,64,64
130,anm,pli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.0252857594522925,64,64
131,anm,pli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.03499706440123834,64,64
132,anm,pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.171875,64,64
133,anm,pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.171875,64,64
134,anm,pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.109375,64,64
135,anm,plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3127276013259073,64,64
136,anm,plv_multitaper_max_fs-1_fmin-0_fmax-0-25,0.2189663628696069,64,64
137,anm,plv_multitaper_max_fs-1_fmin-0_fmax-0-5,0.24868620431879304,64,64
138,anm,plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.4698648089394865,64,64
139,anm,plv_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.37968794981982823,64,64
140,anm,plv_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.48546373403289134,64,64
141,anm,ppc_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3127276013259073,64,64
142,anm,ppc_multitaper_max_fs-1_fmin-0_fmax-0-25,0.2189663628696069,64,64
143,anm,ppc_multitaper_max_fs-1_fmin-0_fmax-0-5,0.24868620431879304,64,64
144,anm,ppc_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5034339727454713,64,64
145,anm,ppc_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.28876616503524855,64,64
146,anm,ppc_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.37223164426234806,64,64
147,anm,prec-sq_EmpiricalCovariance,0.6006734506171617,64,64
148,anm,prec-sq_GraphicalLasso,0.6089179038327022,64,64
149,anm,prec-sq_LedoitWolf,0.5963225329604867,64,64
150,anm,prec-sq_OAS,0.59770126045769,64,64
151,anm,prec-sq_ShrunkCovariance,0.6234042120427195,64,64
152,anm,prec_EmpiricalCovariance,0.13054640031213216,64,64
153,anm,prec_GraphicalLasso,0.10916016084751634,64,64
154,anm,prec_LedoitWolf,0.11895626444831942,64,64
155,anm,prec_OAS,0.12017219209455954,64,64
156,anm,prec_ShrunkCovariance,0.11058104581355133,64,64
157,anm,psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.09192285564529579,64,64
158,anm,psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.13152684341802542,64,64
159,anm,psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.05467219452646155,64,64
160,anm,psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max,0.048928424190985864,64,64
161,anm,psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max,0.057383819245791834,64,64
162,anm,psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max,0.08591894686320245,64,64
163,anm,psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean,0.0762305200306948,64,64
164,anm,psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,0.0691099503088477,64,64
165,anm,psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,0.1325972282068213,64,64
166,anm,reci,0.367454600104767,64,64
167,anm,sgc_nonparametric_max_fs-1_fmin-0-25_fmax-0-5,0.3903396788918141,64,64
168,anm,sgc_nonparametric_max_fs-1_fmin-0_fmax-0-25,0.261940742466705,64,64
169,anm,sgc_nonparametric_max_fs-1_fmin-0_fmax-0-5,0.32974829095230207,64,64
170,anm,sgc_nonparametric_mean_fs-1_fmin-0-25_fmax-0-5,0.44530429460684384,64,64
171,anm,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-25,0.3721351543539446,64,64
