feature_index,SPI-1,SPI-2,ks_statistic,n_CauchyNoise,n_CML
0,anm,bary-sq_euclidean_max,0.6230726035350458,64,64
1,anm,bary-sq_euclidean_mean,0.19824258967240782,64,64
2,anm,bary_euclidean_max,0.33670451037161175,64,64
3,anm,bary_euclidean_mean,0.171875,64,64
4,anm,cce_gaussian,0.6860550913174033,64,64
5,anm,cce_kernel_W-0.5,0.14600243585002776,64,64
6,anm,cce_kozachenko,0.28762667821900467,64,64
7,anm,cds,0.7030890621158481,64,64
8,anm,ce_gaussian,0.6374415260698305,64,64
9,anm,ce_kernel_W-0.5,0.45644861309218737,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.4196285614172865,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.2915869867484966,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.36255386838931397,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5487060739250109,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.3602259104356419,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5133834019676318,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.20907329304303957,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.19698803014353417,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.1737841117581923,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.4979557366618439,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.22086811203948942,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.49378127442116065,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.15002521703836122,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.34984728927389075,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.3256471796893294,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.370029417428669,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.2473739372387208,64,64
27,anm,cov-sq_EmpiricalCovariance,0.8148877133475803,64,64
28,anm,cov-sq_GraphicalLasso,0.9202136485489321,64,64
29,anm,cov-sq_LedoitWolf,0.984375,64,64
30,anm,cov-sq_OAS,0.9741020898588182,64,64
31,anm,cov-sq_ShrunkCovariance,0.8148877133475803,64,64
32,anm,cov_EmpiricalCovariance,0.4772443134645874,64,64
33,anm,cov_GraphicalLasso,0.3622106556603587,64,64
34,anm,cov_GraphicalLassoCV,0.5754946799121673,64,64
35,anm,cov_LedoitWolf,0.625,64,64
36,anm,cov_OAS,0.561812423552305,64,64
37,anm,cov_ShrunkCovariance,0.4772443134645874,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.5556199203112138,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.3119717409086945,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.5644175044028091,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.4172224075966114,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.2508932053884263,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.40543167281699516,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.46323700015459185,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.16569272894567483,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.4752244996050675,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.25715128928031417,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.08738541178277243,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.23752547852508735,64,64
50,anm,di_gaussian,0.7543432309635086,64,64
51,anm,di_kernel_W-0.5,0.8465465118225601,64,64
52,anm,di_kozachenko,0.44600064576542403,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.18311746821137956,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.1762511768023344,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.19831199444109032,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.6782456749796394,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.5421714578605854,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.6363302490785963,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.19353583298123975,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.18745941014180897,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.2068603070252727,64,64
