feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_VAR(1)
0,anm,bary-sq_euclidean_max,0.07386217404636161,64,64
1,anm,bary-sq_euclidean_mean,0.06957058331679347,64,64
2,anm,bary_euclidean_max,0.06505367868317288,64,64
3,anm,bary_euclidean_mean,0.15625,64,64
4,anm,cce_gaussian,0.1503491722682235,64,64
5,anm,cce_kernel_W-0.5,0.03391298143523358,64,64
6,anm,cce_kozachenko,0.1365464725176389,64,64
7,anm,cds,0.26447021100463675,64,64
8,anm,ce_gaussian,0.11761516900376989,64,64
9,anm,ce_kernel_W-0.5,0.12790148787263406,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.032397064129261854,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.09843223257108952,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.09335581039521673,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.04782336427615391,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.06572610278521315,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.07690031730123459,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.15078260145130618,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.1261129208108287,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.1457140103982456,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.193530468167189,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.17772623839942236,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.1772716822447418,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.1537044442555014,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.2158775602212965,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.1853185282913642,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.17564554729906767,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.1549347819192045,64,64
27,anm,cov-sq_EmpiricalCovariance,0.060605677626654864,64,64
28,anm,cov-sq_GraphicalLasso,0.056084257094285966,64,64
29,anm,cov-sq_LedoitWolf,0.6014851792404156,64,64
30,anm,cov-sq_OAS,0.5737000752064678,64,64
31,anm,cov-sq_ShrunkCovariance,0.060605677626654864,64,64
32,anm,cov_EmpiricalCovariance,0.3731674235590991,64,64
33,anm,cov_GraphicalLasso,0.3706289770523165,64,64
34,anm,cov_GraphicalLassoCV,0.559276726443674,64,64
35,anm,cov_LedoitWolf,0.6666951204002469,64,64
36,anm,cov_OAS,0.6662636204697152,64,64
37,anm,cov_ShrunkCovariance,0.3731674235590991,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.03393639064588305,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.013133393668383508,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.022785592610952365,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.02224066264450772,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.02197323915572802,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.03327434734715706,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.023228464615700273,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.023529686320067023,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.028937061975175205,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.01047514559935947,64,64
