feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_Kuramoto
0,anm,bary-sq_euclidean_max,0.058999634691235994,64,64
1,anm,bary-sq_euclidean_mean,0.18159972717630946,64,64
2,anm,bary_euclidean_max,0.14683572959495822,64,64
3,anm,bary_euclidean_mean,0.1875,64,64
4,anm,cce_gaussian,1.0,64,64
5,anm,cce_kernel_W-0.5,0.37903247431890097,64,64
6,anm,cce_kozachenko,0.9122311807295275,64,64
7,anm,cds,0.482164580488111,64,64
8,anm,ce_gaussian,0.3630042223884207,64,64
9,anm,ce_kernel_W-0.5,0.2897243935668519,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.05084445830557148,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.028387511008286473,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.03174869118885756,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.046725435890564104,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.0576227898195667,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.04092622059876083,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.2001353363220406,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.2416502081839832,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.24735748396146928,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.20922904105581175,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.08199636509376174,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.199982342818485,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.06913151004642132,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.255635448924823,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.06561757350917245,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.2346036057911206,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.05826098486277785,64,64
27,anm,cov-sq_EmpiricalCovariance,0.30259204446633725,64,64
28,anm,cov-sq_GraphicalLasso,0.23641217792527336,64,64
29,anm,cov-sq_LedoitWolf,0.808021189562711,64,64
30,anm,cov-sq_OAS,0.7889658640895318,64,64
31,anm,cov-sq_ShrunkCovariance,0.30259204446633725,64,64
32,anm,cov_EmpiricalCovariance,0.3814716710587168,64,64
33,anm,cov_GraphicalLasso,0.32071123098604526,64,64
34,anm,cov_GraphicalLassoCV,0.44769252854322794,64,64
35,anm,cov_LedoitWolf,0.6181684480908529,64,64
36,anm,cov_OAS,0.6105562387461465,64,64
37,anm,cov_ShrunkCovariance,0.3814716710587168,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.051004546533631956,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.08105466916134348,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.07139840160923243,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.03101735730763293,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.11443382738086938,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.1220802728023089,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.11462493134696944,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.05418846901357952,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.047586928446328225,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.07342178599997057,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.08277704607355041,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.0833702999098676,64,64
50,anm,di_gaussian,1.0,64,64
51,anm,di_kernel_W-0.5,0.4056660952489429,64,64
52,anm,di_kozachenko,0.7092477237885586,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.9090046200146971,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.16129622242755604,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.21014801473814865,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5476625294682689,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4124365819462284,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.4777489531528254,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.8793145772387363,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.18089013517361652,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.2340880932921029,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.32822853633457855,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.36417228196936646,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.3892016726647398,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.10476141748660855,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.07015674021056573,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.07114871425762592,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.04872215983771261,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.0646140456530056,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.05173598918793382,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.13765149972118906,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.203125,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.203125,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.203125,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.0992039577525175,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.10839738427837398,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.11330235321355708,64,64
78,anm,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.033922395089557855,64,64
79,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.0521013177175903,64,64
80,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.038847522779715954,64,64
81,anm,gwtau,0.2885513252202816,64,64
82,anm,hsic,0.6203352549699688,64,64
83,anm,hsic_biased,0.27812088956771425,64,64
84,anm,icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.07668978761200548,64,64
85,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.052075276782586055,64,64
86,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.037671063195309246,64,64
87,anm,icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.08616892277795546,64,64
