feature_index,SPI-1,SPI-2,ks_statistic,n_Kuramoto,n_CML
0,anm,bary-sq_euclidean_max,0.38283779014777597,64,64
1,anm,bary-sq_euclidean_mean,0.27039418884953853,64,64
2,anm,bary_euclidean_max,0.4274240717621325,64,64
3,anm,bary_euclidean_mean,0.09375,64,64
4,anm,cce_gaussian,0.578125,64,64
5,anm,cce_kernel_W-0.5,0.05065501365561054,64,64
6,anm,cce_kozachenko,0.1832319494680138,64,64
7,anm,cds,0.23777834836453443,64,64
8,anm,ce_gaussian,0.2881355113947409,64,64
9,anm,ce_kernel_W-0.5,0.15468878668937852,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3991036077068565,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.2777927003482853,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3477711044709209,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5759212614961393,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.35460601183980034,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5272184235355962,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.10986357116879619,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.11061702256165448,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.11610831189022489,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.5508530537065033,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.14573247152486393,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.5029582281089671,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.10586854297366666,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.47519153331733766,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.20826675596027105,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.45996985775822863,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.14924689898024812,64,64
27,anm,cov-sq_EmpiricalCovariance,0.6090586450989617,64,64
28,anm,cov-sq_GraphicalLasso,0.5753373254262559,64,64
29,anm,cov-sq_LedoitWolf,0.5829129333518307,64,64
30,anm,cov-sq_OAS,0.5829129333518307,64,64
31,anm,cov-sq_ShrunkCovariance,0.6090586450989617,64,64
32,anm,cov_EmpiricalCovariance,0.4251989783377596,64,64
33,anm,cov_GraphicalLasso,0.409354075985805,64,64
34,anm,cov_GraphicalLassoCV,0.4506869370389067,64,64
35,anm,cov_LedoitWolf,0.4209888649494507,64,64
36,anm,cov_OAS,0.4209888649494507,64,64
37,anm,cov_ShrunkCovariance,0.4251989783377596,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.45157221021536037,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.2549816087493466,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.515725918382255,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.3224736986382005,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.2528275514862083,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.3988902173404286,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.29520443862792645,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.06056507611715421,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3788225236169155,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.10575666709584042,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.05064113872605633,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.1862698841524584,64,64
50,anm,di_gaussian,1.0,64,64
51,anm,di_kernel_W-0.5,0.3042278491202432,64,64
52,anm,di_kozachenko,0.677266277170991,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.9216327242418042,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.15497622300484767,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.20663189827146433,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.7552573245323224,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.6301845378189972,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.7052328985825638,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.8935349971313817,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.17394336851640338,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.229396197847809,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.7252871828757548,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.632792405335713,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.7085506504191446,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.21537741199702537,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.19642273429394763,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.24139262166255526,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.20111764593106557,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.1510068496919597,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.18662729843325526,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.34877336541552956,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.15625,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.203125,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.1875,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.30072604177345524,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.2094443906399801,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.27932680948756167,64,64
78,anm,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.43042514590663433,64,64
79,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.3164389533417959,64,64
80,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.4248560602823982,64,64
81,anm,gwtau,0.08774103568642866,64,64
82,anm,hsic,0.5294288195450964,64,64
83,anm,hsic_biased,0.7044295994845619,64,64
84,anm,icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.29694138617447685,64,64
85,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.28093188729561425,64,64
86,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3069795814545673,64,64
87,anm,icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.3912095835694295,64,64
88,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.2706312106023895,64,64
89,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.37372168305613757,64,64
90,anm,igci,0.32955822073024,64,64
91,anm,je_gaussian,0.298997612940175,64,64
92,anm,je_kernel_W-0.5,0.1267745699133197,64,64
93,anm,je_kozachenko,0.33014429645428944,64,64
94,anm,kendalltau,0.4215912742905189,64,64
95,anm,kendalltau-sq,0.5725018399146778,64,64
96,anm,lmfit_BayesianRidge,0.2971362441255716,64,64
97,anm,lmfit_ElasticNet,0.043831950646886164,64,64
98,anm,lmfit_Lasso,0.03534832042482383,64,64
99,anm,lmfit_Ridge,0.2973726435873212,64,64
100,anm,lmfit_SGDRegressor,0.29741280657777547,64,64
101,anm,mi_gaussian,0.6090586450989617,64,64
102,anm,mi_kernel_W-0.25,0.5908163689903474,64,64
103,anm,mi_kraskov_NN-4,0.36980106381926864,64,64
104,anm,mi_kraskov_NN-4_DCE,0.8134261711033407,64,64
105,anm,pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.21537741199702537,64,64
106,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.19642273429394763,64,64
107,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.24139262166255526,64,64
108,anm,pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.20111764593106557,64,64
109,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.1510068496919597,64,64
110,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.18662729843325526,64,64
111,anm,pdist_braycurtis,0.2450942116777291,64,64
112,anm,pdist_canberra,0.2966331636330956,64,64
113,anm,pdist_chebyshev,0.41174532374515427,64,64
114,anm,pdist_cityblock,0.2703140171892177,64,64
115,anm,pdist_cosine,0.241651751814575,64,64
116,anm,pdist_euclidean,0.241651751814575,64,64
117,anm,pec,0.36534877763005325,64,64
118,anm,pec_log,0.3891987689527897,64,64
119,anm,pec_orth,0.25907905892056265,64,64
120,anm,pec_orth_abs,0.5587068719800988,64,64
121,anm,pec_orth_log,0.2936892224825468,64,64
122,anm,pec_orth_log_abs,0.451483775952881,64,64
123,anm,phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.09147904380160343,64,64
124,anm,phase_multitaper_max_fs-1_fmin-0_fmax-0-25,0.30240301215935483,64,64
125,anm,phase_multitaper_max_fs-1_fmin-0_fmax-0-5,0.2933500202380641,64,64
126,anm,phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.1875,64,64
127,anm,phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.5127147562683617,64,64
128,anm,phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.510102854708433,64,64
129,anm,pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.9061793660066658,64,64
130,anm,pli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.18337120405113294,64,64
131,anm,pli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.25392135715229236,64,64
132,anm,pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.140625,64,64
133,anm,pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.109375,64,64
134,anm,pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.140625,64,64
135,anm,plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3575200782079653,64,64
136,anm,plv_multitaper_max_fs-1_fmin-0_fmax-0-25,0.16237268238789132,64,64
137,anm,plv_multitaper_max_fs-1_fmin-0_fmax-0-5,0.2171094346832816,64,64
138,anm,plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5159426271922973,64,64
139,anm,plv_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.38292482563984015,64,64
140,anm,plv_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.4970024987913282,64,64
