feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1),n_Wave1D
0,anm,bary-sq_euclidean_max,0.11686623923211376,64,64
1,anm,bary-sq_euclidean_mean,0.05923693276131868,64,64
2,anm,bary_euclidean_max,0.06565501563553072,64,64
3,anm,bary_euclidean_mean,0.1875,64,64
4,anm,cce_gaussian,0.78125,64,64
5,anm,cce_kernel_W-0.5,0.5455307745522654,64,64
6,anm,cce_kozachenko,0.7855977570042585,64,64
7,anm,cds,0.35808880057400444,64,64
8,anm,ce_gaussian,0.984375,64,64
9,anm,ce_kernel_W-0.5,0.354837752272536,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.1710749726925238,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.2887210024601331,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.26538488526349213,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.18677117489000916,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.17892331046874338,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.19067356064719276,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.75,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.734375,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.65625,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.71875,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.10376661333023746,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.07573397286219874,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.31801737508924344,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.6875,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.09120578770845794,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.16384956494163533,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.30728307214414236,64,64
27,anm,cov-sq_EmpiricalCovariance,0.2344872616479753,64,64
28,anm,cov-sq_GraphicalLasso,0.27789704955107714,64,64
29,anm,cov-sq_LedoitWolf,0.2344894780423532,64,64
30,anm,cov-sq_OAS,0.23448636057115013,64,64
31,anm,cov-sq_ShrunkCovariance,0.2344894067415414,64,64
32,anm,cov_EmpiricalCovariance,0.7226958223358793,64,64
33,anm,cov_GraphicalLasso,0.5007182018216116,64,64
34,anm,cov_GraphicalLassoCV,0.6842724113638884,64,64
35,anm,cov_LedoitWolf,0.7226851056926894,64,64
36,anm,cov_OAS,0.7226725201404478,64,64
37,anm,cov_ShrunkCovariance,0.7226876631793426,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.4103929312504361,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.4394578147170908,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.4608889128000041,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5564164343385309,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4808061090984386,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5418992189618907,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.8277839204387428,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.7409636840416969,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.7423760024014182,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.8615778267350752,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.733589205214801,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.737331538596889,64,64
50,anm,di_gaussian,0.984375,64,64
51,anm,di_kernel_W-0.5,0.23368092117920503,64,64
52,anm,di_kozachenko,0.40224378001058514,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.8665047949344776,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.11508818770490632,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.16018645554523708,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.42253094867093066,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.35508830534207003,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.44885741853101435,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.855495884755508,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.12129185718642724,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.16727078907960888,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.46247512869363727,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.3289938312802809,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.38828929457488137,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.4067907099579643,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.30837424805172803,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.34839956187782667,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5059110605798418,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.43995257794999076,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5243088480315268,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.1399732786902257,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.125,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.2898585169467762,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.31906680250365926,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.7458408536592223,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.7178416141832996,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.7158553749769831,64,64
78,anm,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.7955393889985352,64,64
79,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.6181685774078027,64,64
80,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.6971663212137862,64,64
81,anm,gwtau,0.12082087667686581,64,64
82,anm,hsic,0.2366787952163738,64,64
83,anm,hsic_biased,0.23331929266953233,64,64
84,anm,icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.2236285569821547,64,64
85,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.25944628113385915,64,64
86,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.23006519864401748,64,64
87,anm,icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.25171078670567915,64,64
88,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.3702729949996903,64,64
89,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.3520848020723773,64,64
90,anm,igci,0.36147531257590093,64,64
91,anm,je_gaussian,0.984375,64,64
92,anm,je_kernel_W-0.5,0.2537491532067537,64,64
93,anm,je_kozachenko,0.44922450582925244,64,64
94,anm,kendalltau,0.7210840164119979,64,64
95,anm,kendalltau-sq,0.2411795023954567,64,64
96,anm,lmfit_BayesianRidge,0.19938334018810616,64,64
97,anm,lmfit_ElasticNet,0.26511158524136635,64,64
98,anm,lmfit_Lasso,0.09475059319304835,64,64
99,anm,lmfit_Ridge,0.15729975172357497,64,64
100,anm,lmfit_SGDRegressor,0.15727387153646152,64,64
101,anm,mi_gaussian,0.921875,64,64
102,anm,mi_kernel_W-0.25,0.312017022557885,64,64
103,anm,mi_kraskov_NN-4,0.3276096328621707,64,64
104,anm,mi_kraskov_NN-4_DCE,0.37564179309973295,64,64
105,anm,pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.8357011120588944,64,64
106,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.7395507822914371,64,64
107,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.7426271265920843,64,64
