feature_index,SPI-1,SPI-2,ks_statistic,n_CauchyNoise,n_Kuramoto
0,anm,bary-sq_euclidean_max,0.16964456866739236,64,64
1,anm,bary-sq_euclidean_mean,0.09250580349472048,64,64
2,anm,bary_euclidean_max,0.14456552225368804,64,64
3,anm,bary_euclidean_mean,0.25,64,64
4,anm,cce_gaussian,1.0,64,64
5,anm,cce_kernel_W-0.5,0.1150867557520533,64,64
6,anm,cce_kozachenko,0.29887204837100645,64,64
7,anm,cds,0.29725377055942614,64,64
8,anm,ce_gaussian,0.26454402029963164,64,64
9,anm,ce_kernel_W-0.5,0.11993548059337278,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.044073618919836854,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.040972036025112346,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.04440203273418597,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.021055107402513262,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.03904061042693319,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.029902960908486653,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.14133246557389523,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.15655087809745316,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.1558946341526415,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.06616364067726246,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.02652399257117488,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.0615081540743935,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.03390720060959318,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.11604304059894116,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.025752408325590448,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.10702998832451824,64,64
