feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_CML
0,anm,bary-sq_euclidean_max,0.27558798383769856,64,64
1,anm,bary-sq_euclidean_mean,0.11908672014025401,64,64
2,anm,bary_euclidean_max,0.20088865191992994,64,64
3,anm,bary_euclidean_mean,0.1875,64,64
4,anm,cce_gaussian,0.25351709839455483,64,64
5,anm,cce_kernel_W-0.5,0.2164924991120909,64,64
6,anm,cce_kozachenko,0.7991952180872407,64,64
7,anm,cds,0.5392004779166988,64,64
8,anm,ce_gaussian,0.383636169378422,64,64
9,anm,ce_kernel_W-0.5,0.26359784053982094,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.2180705744674319,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.12409671511458414,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.1621964114392691,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.3085788581444062,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.2232915113266119,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.2758864270756766,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.06151873930931229,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.05352282574317113,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.03938792560957449,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.27439062137319536,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.11574030852222392,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.26582876033716507,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.07423466964059922,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.18704452365490892,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.15934642766451457,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.2096274492889295,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.11482960026295325,64,64
27,anm,cov-sq_EmpiricalCovariance,0.6230709452997573,64,64
28,anm,cov-sq_GraphicalLasso,0.6375652790765786,64,64
29,anm,cov-sq_LedoitWolf,0.9129837322345111,64,64
30,anm,cov-sq_OAS,0.898028948005984,64,64
