feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1),n_Kuramoto
0,anm,bary-sq_euclidean_max,0.03636957780320116,64,64
1,anm,bary-sq_euclidean_mean,0.09075371797986542,64,64
2,anm,bary_euclidean_max,0.02914402856136422,64,64
3,anm,bary_euclidean_mean,0.234375,64,64
4,anm,cce_gaussian,0.78125,64,64
5,anm,cce_kernel_W-0.5,0.15656114948408326,64,64
6,anm,cce_kozachenko,0.5743782895261385,64,64
7,anm,cds,0.24362317851893367,64,64
8,anm,ce_gaussian,0.24776933708672128,64,64
9,anm,ce_kernel_W-0.5,0.17820681114232884,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.011705622001809024,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.044489169350866165,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.043083396336403734,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.018463056936021682,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.05137443838146105,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.04929922913147339,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.06501380275676583,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.0603091400152177,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.049805673278456364,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.02511557262502495,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.0327164516956851,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.03822560628650018,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.035058605514448615,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.010761303879282758,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.04482052125361119,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.01991319992383067,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.04129082068411821,64,64
27,anm,cov-sq_EmpiricalCovariance,0.19152318712496574,64,64
28,anm,cov-sq_GraphicalLasso,0.12230606471398131,64,64
29,anm,cov-sq_LedoitWolf,0.19152318712496574,64,64
30,anm,cov-sq_OAS,0.19152318712496574,64,64
31,anm,cov-sq_ShrunkCovariance,0.19152318712496574,64,64
32,anm,cov_EmpiricalCovariance,0.36718894451946144,64,64
33,anm,cov_GraphicalLasso,0.35612633498931534,64,64
34,anm,cov_GraphicalLassoCV,0.3574774398561721,64,64
35,anm,cov_LedoitWolf,0.36718894451946144,64,64
36,anm,cov_OAS,0.36718894451946144,64,64
37,anm,cov_ShrunkCovariance,0.36718894451946144,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.03356177918832723,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.03492053794219946,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.03564897922316118,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.042571255237114886,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.05381053736337471,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.054897433455890265,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.04128357712667252,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.01706937786282814,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.022461159664995067,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.027561091897597145,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.032677073687956554,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.03290812577044297,64,64
50,anm,di_gaussian,0.984375,64,64
51,anm,di_kernel_W-0.5,0.2925663552150174,64,64
52,anm,di_kozachenko,0.09387144540118086,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.6988837762493318,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.07771495005175305,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.1039294375999174,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.3322918964669661,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.2530883305046035,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.35013343665883295,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.6746494540007315,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.08453781512610908,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.11330087318239312,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.24749097993822217,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.20918770651821106,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.2883536551305108,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.031757442668495894,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.011508312443915869,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.013826203786592078,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.02358923600889154,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.025236606756254942,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.017565836579796712,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.08793335605970298,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.1875,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.11551850987966605,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.24546077549174372,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.057472246403344585,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.018044002707041984,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.020462405922519578,64,64
78,anm,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.04554167092858513,64,64
79,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.05392163856787635,64,64
80,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.0569416058138269,64,64
81,anm,gwtau,0.1346264332152811,64,64
82,anm,hsic,0.24804093003858085,64,64
83,anm,hsic_biased,0.24646935676587262,64,64
84,anm,icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.0325740474684012,64,64
