feature_index,SPI-1,SPI-2,ks_statistic,n_CauchyNoise,n_GaussianNoise
0,anm,bary-sq_euclidean_max,0.11041543229385531,64,64
1,anm,bary-sq_euclidean_mean,0.032849434770158226,64,64
2,anm,bary_euclidean_max,0.026824485864903547,64,64
3,anm,bary_euclidean_mean,0.15625,64,64
4,anm,cce_gaussian,0.2473871667079991,64,64
5,anm,cce_kernel_W-0.5,0.325392951062084,64,64
6,anm,cce_kozachenko,0.8683711582140462,64,64
7,anm,cds,0.03269737985403351,64,64
8,anm,ce_gaussian,0.03674700262402619,64,64
9,anm,ce_kernel_W-0.5,0.01677085141965784,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.03226881770221113,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.06298935215777979,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.060224526066343986,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.04951657120337616,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.018002044622071778,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.04156973665832697,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.021810424059278105,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.02029839031551428,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.015838635346058616,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.02804628793544195,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.010137697536180656,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.02480985395691948,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.01688211723241595,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.00856218474909387,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.017437185185711357,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.011589055190646458,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.012086180537012603,64,64
27,anm,cov-sq_EmpiricalCovariance,0.03305638617092155,64,64
28,anm,cov-sq_GraphicalLasso,0.2185866033081892,64,64
29,anm,cov-sq_LedoitWolf,0.125,64,64
30,anm,cov-sq_OAS,0.05238837477095304,64,64
31,anm,cov-sq_ShrunkCovariance,0.03305638617092155,64,64
32,anm,cov_EmpiricalCovariance,0.1586757032341719,64,64
33,anm,cov_GraphicalLasso,0.11566670398930112,64,64
34,anm,cov_GraphicalLassoCV,0.10299524673663715,64,64
35,anm,cov_LedoitWolf,0.140625,64,64
36,anm,cov_OAS,0.12127684267297589,64,64
37,anm,cov_ShrunkCovariance,0.1586757032341719,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.05590009852801786,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.05420201215727366,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.06370172574416061,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.06120640160770324,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.031936990487668016,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.05455453931208726,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.056905735533208324,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.05835070812903115,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.06595942878360472,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.06293458225359433,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.03382741904814962,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.056848967936689365,64,64
50,anm,di_gaussian,0.14122321314168712,64,64
51,anm,di_kernel_W-0.5,0.27081779715829335,64,64
52,anm,di_kozachenko,0.38976626151665744,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.08578144737733462,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.09035825668291475,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.09905703025528745,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.14337880005596348,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.11182461366180596,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.13010205160233151,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.09107074717101926,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.09628018906063396,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.10427284256174701,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.10067640839039005,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.1245914416043401,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.12649055805101772,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.034470520668064775,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.016247229325462437,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.021948752790835885,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.05879082857512119,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.028229690799624507,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.048987340657759004,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.02649386461779002,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.125,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.265625,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.171875,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.022072636414601055,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.014772041721104134,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.020123168316969253,64,64
78,anm,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.043936454868107155,64,64
79,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.019593217823478004,64,64
80,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.03279105990150599,64,64
81,anm,gwtau,0.01774573752546238,64,64
82,anm,hsic,0.1738425333686633,64,64
83,anm,hsic_biased,0.1076707629239676,64,64
84,anm,icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.028756684295161206,64,64
85,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.0066894428073892565,64,64
86,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.03454111016381378,64,64
87,anm,icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.05079955439526618,64,64
88,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.007861977967113687,64,64
89,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.010528513997421995,64,64
90,anm,igci,0.9448320451962053,64,64
91,anm,je_gaussian,0.03674700262402619,64,64
92,anm,je_kernel_W-0.5,0.0151070164914468,64,64
93,anm,je_kozachenko,0.6884306218911925,64,64
94,anm,kendalltau,0.10609354758206146,64,64
95,anm,kendalltau-sq,0.03793137560745674,64,64
96,anm,lmfit_BayesianRidge,0.040225272633029996,64,64
97,anm,lmfit_ElasticNet,0.05800213025472678,64,64
98,anm,lmfit_Lasso,0.05589957693796355,64,64
99,anm,lmfit_Ridge,0.03653223482344836,64,64
100,anm,lmfit_SGDRegressor,0.054062265581293345,64,64
101,anm,mi_gaussian,0.03305638617092155,64,64
102,anm,mi_kernel_W-0.25,0.15744674575341366,64,64
103,anm,mi_kraskov_NN-4,0.16024624276670418,64,64
104,anm,mi_kraskov_NN-4_DCE,0.13835954716681964,64,64
105,anm,pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.034470520668064775,64,64
106,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.016247229325462437,64,64
107,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.021948752790835885,64,64
108,anm,pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.05879082857512119,64,64
109,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.028229690799624507,64,64
110,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.048987340657759004,64,64
111,anm,pdist_braycurtis,0.026495553740553346,64,64
112,anm,pdist_canberra,0.0033686186537039142,64,64
113,anm,pdist_chebyshev,0.12886626408774854,64,64
114,anm,pdist_cityblock,0.09593447511970443,64,64
115,anm,pdist_cosine,0.0318233566398769,64,64
116,anm,pdist_euclidean,0.0318233566398769,64,64
117,anm,pec,0.12318078345211808,64,64
118,anm,pec_log,0.0716561876790085,64,64
119,anm,pec_orth,0.1842264174125014,64,64
120,anm,pec_orth_abs,0.021514790004575124,64,64
121,anm,pec_orth_log,0.28023111881392554,64,64
122,anm,pec_orth_log_abs,0.030217648834402866,64,64
123,anm,phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.015530403187681507,64,64
124,anm,phase_multitaper_max_fs-1_fmin-0_fmax-0-25,0.02061494171394429,64,64
125,anm,phase_multitaper_max_fs-1_fmin-0_fmax-0-5,0.01926332695320454,64,64
126,anm,phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.21875,64,64
127,anm,phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.04568993305493607,64,64
128,anm,phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.04465007964128331,64,64
129,anm,pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.08513428838305459,64,64
130,anm,pli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.05704742799548579,64,64
131,anm,pli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.09721145095085665,64,64
132,anm,pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.078125,64,64
133,anm,pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.1875,64,64
134,anm,pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.203125,64,64
135,anm,plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.018950569742595125,64,64
136,anm,plv_multitaper_max_fs-1_fmin-0_fmax-0-25,0.022340372656667884,64,64
137,anm,plv_multitaper_max_fs-1_fmin-0_fmax-0-5,0.030746995116335274,64,64
